,,cllp,fine,omf,ppsa
Battery,Powerline,0.01,0.0,0.0,1.26
Biogas CHP,Heatline,0.0,0.0,0.0,13.54
Biogas CHP,Powerline,0.0,0.0,0.0,13.54
Biogas Line,Biogas CHP,0.0,0.0,0.0,13.54
Biogas Supply,Biogas Line,0.0,0.0,0.0,13.54
Combined Cycle PP,Powerline,0.02,0.0,0.0,39.15
Hard Coal CHP,Heatline,None,None,None,inf
Hard Coal CHP,Powerline,None,None,None,inf
Hard Coal PP,Powerline,None,None,None,None
Hard Coal Supply,Hard Coal Supply Line,None,None,None,inf
Hard Coal Supply Line,Hard Coal CHP,None,None,None,inf
Heat Plant,Heatline,None,None,None,None
Heat Storage,Heatline,0.0,0.0,0.0,1.0
Heatline,Heat Demand,0.0,0.0,0.0,0.0
Heatline,Heat Storage,0.0,0.0,0.0,37.63
Lignite Power Plant,Powerline,None,None,None,None
Offshore Wind Turbine,Powerline,0.0,0.0,0.0,1.68
Onshore Wind Turbine,Powerline,0.0,0.0,0.0,0.81
Power To Heat,Heatline,0.0,0.0,0.0,1.0
Powerline,Battery,0.0,0.0,0.0,1.26
Powerline,El Demand,0.0,0.0,0.0,0.0
Powerline,Power To Heat,0.0,0.0,0.0,1.0
Solar Panel,Powerline,0.0,0.0,0.0,3.22
