,Battery,Biogas CHP,Biogas CHP,Biogas Line,Biogas Supply,Combined Cycle PP,Gas Line,Gas Line,Gas Station,Hard Coal CHP,Hard Coal CHP,Hard Coal PP,Hard Coal Supply,Hard Coal Supply Line,Hard Coal Supply Line,Heat Plant,Heat Storage,Heatline,Heatline,Lignite Power Plant,Lignite Supply,Lignite Supply Line,Offshore Wind Turbine,Onshore Wind Turbine,Power To Heat,Powerline,Powerline,Powerline,Solar Panel
,Powerline,Heatline,Powerline,Biogas CHP,Biogas Line,Powerline,Combined Cycle PP,Heat Plant,Gas Line,Heatline,Powerline,Powerline,Hard Coal Supply Line,Hard Coal CHP,Hard Coal PP,Heatline,Heatline,Heat Demand,Heat Storage,Powerline,Lignite Supply Line,Lignite Power Plant,Powerline,Powerline,Heatline,Battery,El Demand,Power To Heat,Powerline
2019-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.623794,0.0,0.0,0.0,0.0,0.0,956.10969,95.623794,0.0,859.52,96.589691,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.624164,0.0,0.0,0.0,0.0,0.0,929.85027,97.624164,0.0,831.24,98.610267,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.42922,0.0,0.0,0.0,0.0,0.0,911.52446,108.42922,0.0,802.0,109.52446,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.01697,0.0,0.0,0.0,0.0,0.0,912.02058,133.01697,0.0,777.66,134.36058,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.52689,0.0,0.0,0.0,0.0,0.0,960.4906,182.52689,0.0,776.12,184.3706,0.0
2019-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.67251,0.0,0.0,0.0,0.0,0.0,992.74132,218.67251,0.0,771.86,220.88132,0.0
2019-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.76149,0.0,0.0,0.0,0.0,0.0,977.7106,212.76149,0.0,762.8,214.9106,0.0
2019-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.40288,0.0,0.0,0.0,0.0,0.0,982.31765,205.40288,0.0,774.84,207.47765,0.0
2019-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.97902,0.0,0.0,0.0,0.0,0.0,979.0382,191.97902,0.0,785.12,193.9182,0.0
2019-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.27762,0.0,0.0,0.0,0.0,0.0,1022.4586,180.27762,0.0,840.36,182.09861,0.0
2019-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.71726,0.0,0.0,0.0,0.0,0.0,1064.1118,171.71726,0.0,890.66,173.45178,0.0
2019-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.29201,0.0,0.0,0.0,0.0,0.0,1118.7618,167.29201,0.0,949.78,168.98183,0.0
2019-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.45503,0.0,0.0,0.0,0.0,0.0,1152.3463,165.45503,0.0,985.22,167.12629,0.0
2019-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.11793,0.0,0.0,0.0,0.0,0.0,1145.446,167.11793,0.0,976.64,168.80599,0.0
2019-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.45137,0.0,0.0,0.0,0.0,0.0,1144.0731,170.45137,0.0,971.9,172.17311,0.0
2019-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.08332,0.0,0.0,0.0,0.0,0.0,1156.4021,178.08332,0.0,976.52,179.88214,0.0
2019-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.70763,0.0,0.0,0.0,0.0,0.0,1200.1035,185.70763,0.0,1012.52,187.58347,0.0
2019-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.8042,0.0,0.0,0.0,0.0,0.0,1265.5612,187.8042,0.0,1075.86,189.70122,0.0
2019-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.29132,0.0,0.0,0.0,0.0,0.0,1277.6132,188.29132,0.0,1087.42,190.19325,0.0
