,,cllp,fine,omf,ppsa
Battery,Powerline,0.0,0.0,0.0,0.0
Biogas CHP,Heatline,0.0,0.0,0.0,0.0
Biogas CHP,Powerline,0.0,0.0,0.0,0.0
Biogas Line,Biogas CHP,0.0,0.0,0.0,0.0
Biogas Supply,Biogas Line,0.0,0.0,0.0,0.0
Combined Cycle PP,Powerline,2875415.4,2875415.4,2875415.4,2875415.4
Gas Line,Combined Cycle PP,0.0,0.0,0.0,
Gas Line,Heat Plant,0.0,0.0,0.0,
Gas Station,Gas Line,0.0,0.0,0.0,
Hard Coal CHP,Heatline,0.0,6642688.86,6642566.279999999,6642566.279999999
Hard Coal CHP,Powerline,95210409.08,88569184.80000001,88567550.39999999,88567550.39999999
Hard Coal PP,Powerline,161676212.0,165614581.6,165583730.39999998,168059696.0
Hard Coal Supply,Hard Coal Supply Line,0.0,0.0,0.0,0.0
Hard Coal Supply Line,Hard Coal CHP,0.0,0.0,0.0,0.0
Hard Coal Supply Line,Hard Coal PP,0.0,0.0,0.0,
Heat Plant,Heatline,353481.1,353466.75,353466.75,353466.75
Heat Storage,Heatline,48954.399999999994,48554.0,48962.799999999996,48962.799999999996
Heatline,Heat Demand,0.0,0.0,0.0,0.0
Heatline,Heat Storage,0.0,0.0,0.0,0.0
Lignite Power Plant,Powerline,268618990.25,268617315.2,268618990.25,268618990.25
Lignite Supply,Lignite Supply Line,0.0,0.0,0.0,
Lignite Supply Line,Lignite Power Plant,0.0,0.0,0.0,
Offshore Wind Turbine,Powerline,0.0,0.0,0.0,0.0
Onshore Wind Turbine,Powerline,124879963.2,124880283.60000001,124879963.2,124879963.2
Power To Heat,Heatline,0.0,0.0,0.0,0.0
Powerline,Battery,0.0,0.0,0.0,0.0
Powerline,El Demand,0.0,0.0,0.0,0.0
Powerline,Power To Heat,0.0,0.0,0.0,0.0
Solar Panel,Powerline,34845926.4,30907828.799999997,30938680.0,28462714.4
