,,cllp,fine,omf,ppsa
Battery,Powerline,0.0,0.0,0.0,0.0
Biogas CHP,Heatline,0.0,0.0,0.0,0.0
Biogas CHP,Powerline,0.0,0.0,0.0,0.0
Biogas Line,Biogas CHP,0.0,0.0,0.0,0.0
Biogas Supply,Biogas Line,0.0,0.0,0.0,0.0
Combined Cycle PP,Powerline,31949.06,31949.06,31949.06,31949.06
Gas Line,Combined Cycle PP,53248.44,53248.44,53248.44,
Gas Line,Heat Plant,11221.63,11221.16,11221.16,
Gas Station,Gas Line,64470.07,64469.6,64469.6,
Hard Coal CHP,Heatline,1107097.78,1107114.81,1107094.38,1107094.38
Hard Coal CHP,Powerline,1107097.78,1107114.81,1107094.38,1107094.38
Hard Coal PP,Powerline,2020952.65,2070182.27,2069796.63,2100746.2
Hard Coal Supply,Hard Coal Supply Line,7467634.33,7582164.4,7581216.47,2767735.94
Hard Coal Supply Line,Hard Coal CHP,2767744.44,2767787.03,2767735.93,2767735.94
Hard Coal Supply Line,Hard Coal PP,4699889.89,4814377.37,4813480.54,
Heat Plant,Heatline,10099.46,10099.05,10099.05,10099.05
Heat Storage,Heatline,2447.72,2427.7,2448.14,2448.14
Heatline,Heat Demand,1116162.73,1116162.73,1116162.73,1116162.73
Heatline,Heat Storage,3482.22,3478.82,3478.82,3478.82
Lignite Power Plant,Powerline,4132599.85,4132574.08,4132599.85,4132599.85
Lignite Supply,Lignite Supply Line,10331499.63,10331435.2,10331499.63,
Lignite Supply Line,Lignite Power Plant,10331499.63,10331435.2,10331499.63,
Offshore Wind Turbine,Powerline,0.0,0.0,0.0,0.0
Onshore Wind Turbine,Powerline,2081332.72,2081338.06,2081332.72,2081332.72
Power To Heat,Heatline,0.0,0.0,0.0,0.0
Powerline,Battery,0.0,0.0,0.0,0.0
Powerline,El Demand,9809506.14,9809506.14,9809506.14,9809506.14
Powerline,Power To Heat,0.0,0.0,0.0,0.0
Solar Panel,Powerline,435574.08,386347.86,386733.5,355783.93
