,cllp,fine,omf,ppsa
Battery,100.0,100.0,100.0,100.0
Biogas CHP Heatline,250.0,250.0,250.0,500.0
Biogas CHP Powerline,200.0,200.0,200.0,500.0
Biogas Supply,0.0,0.0,0.0,0.0
Combined Cycle PP,600.0,600.0,600.0,600.0
El Demand,1526.22,1526.22,1526.22,1526.22
Gas Station,0.0,0.0,0.0,
Hard Coal CHP Heatline,300.0,300.0,300.0,750.0
Hard Coal CHP Powerline,300.0,300.0,300.0,750.0
Hard Coal PP,500.0,500.00012999999996,500.0,500.0
Hard Coal Supply,0.0,0.0,0.0,0.0
Heat Demand,399.99154,399.992,399.991542,399.991542
Heat Plant,450.0,450.0,450.0,450.0
Heat Storage,50.0,50.0,50.0,50.0
Lignite Power Plant,500.0,500.0,500.0,500.0
Lignite Supply,0.0,0.0,0.0,
Offshore Wind Turbine,150.0,150.0,150.0,150.0
Onshore Wind Turbine,1100.0,1100.0,1100.0,1100.0
Power To Heat,100.0,99.99990000000001,100.0,101.01010101010101
Solar Panel,1100.0,1100.0,1100.0,1100.0
Biogas Line,,0.0,,
Gas Line,,0.0,,
Hard Coal Supply Line,,0.0,,
Heatline,,0.0,,
Lignite Supply Line,,0.0,,
Powerline,,0.0,,
