,,cllp,fine,omf,ppsa
Combined Cycle PP,Powerline,31949,31949,31949,31949
Gas Line,Combined Cycle PP,53248,53248,53248,0
Gas Line,Heat Plant,11222,11221,11221,0
Gas Station,Gas Line,64470,64470,64470,0
Hard Coal CHP,Heatline,1107098,1107115,1107094,1107094
Hard Coal CHP,Powerline,1107098,1107115,1107094,1107094
Hard Coal PP,Powerline,2020953,2070182,2069797,2100746
Hard Coal Supply,Hard Coal Supply Line,7467634,7582164,7581216,2767736
Hard Coal Supply Line,Hard Coal CHP,2767744,2767787,2767736,2767736
Hard Coal Supply Line,Hard Coal PP,4699890,4814377,4813481,0
Heat Plant,Heatline,10099,10099,10099,10099
Heat Storage,Heatline,2448,2428,2448,2448
Heatline,Heat Demand,1116163,1116163,1116163,1116163
Heatline,Heat Storage,3482,3479,3479,3479
Lignite Power Plant,Powerline,4132600,4132574,4132600,4132600
Lignite Supply,Lignite Supply Line,10331500,10331435,10331500,0
Lignite Supply Line,Lignite Power Plant,10331500,10331435,10331500,0
Onshore Wind Turbine,Powerline,2081333,2081338,2081333,2081333
Powerline,El Demand,9809506,9809506,9809506,9809506
Solar Panel,Powerline,435574,386348,386734,355784
