,Battery,Biogas CHP,Biogas CHP,Biogas Line,Biogas Supply,Combined Cycle PP,Hard Coal CHP,Hard Coal CHP,Hard Coal PP,Hard Coal Supply,Hard Coal Supply Line,Heat Plant,Heat Storage,Heatline,Heatline,Lignite Power Plant,Offshore Wind Turbine,Onshore Wind Turbine,Power To Heat,Powerline,Powerline,Powerline,Solar Panel
,Powerline,Heatline,Powerline,Biogas CHP,Biogas Line,Powerline,Heatline,Powerline,Powerline,Hard Coal Supply Line,Hard Coal CHP,Heatline,Heatline,Heat Demand,Heat Storage,Powerline,Powerline,Powerline,Heatline,Battery,El Demand,Power To Heat,Powerline
2019-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,95.62379200000001,95.62379200000001,0.0,239.05948,239.05948,0.0,0.0,95.623794,0.0,343.29141,0.0,420.6048,0.0,0.0,859.5199999999999,0.0,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,97.62416400000001,97.62416400000001,0.0,244.06041,244.06041,0.0,0.0,97.62416400000001,0.0,270.04504,0.0,463.5708,0.0,0.0,831.24,0.0,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,108.429216,108.429216,0.0,271.07304,271.07304,0.0,0.0,108.429216,0.0,215.03118,0.0,478.5396,0.0,0.0,802.0,0.0,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,133.016968,133.016968,0.0,332.54242,332.54242,0.0,0.0,133.01697,0.0,142.44903,0.0,502.194,0.0,0.0,777.66,0.0,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,182.526892,182.526892,0.0,456.31723,456.31723,0.0,0.0,182.526891,0.0,48.248309,0.0,545.3448,0.0,0.0,776.12,0.0,0.0
2019-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,218.67250800000002,218.67250800000002,0.0,546.68127,546.68127,0.0,0.0,218.672508,0.0,0.0,0.0,553.18749,0.0,0.0,771.86,0.0,0.0
2019-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,212.761492,212.761492,0.0,531.90373,531.90373,0.0,0.0,212.76149100000004,0.0,0.0,0.0,550.03851,0.0,0.0,762.8000000000002,0.0,0.0
2019-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,205.40288,205.40288,0.0,513.5072,513.5072,0.0,0.0,205.40287800000002,0.0,0.0,0.0,569.43712,0.0,0.0,774.8399999999999,0.0,0.0
2019-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,191.97902,191.97902,0.0,479.94755,479.94755,0.0,0.0,191.979021,0.0,0.0,0.0,593.14098,0.0,0.0,785.12,0.0,0.0
