Load-Powerline [MW],cllp,fine,omf,ppsa
Battery,-59184,-59142,-59142,-16594
Battery,69736,69681,69681,19032
Biogas CHP,-66772,-66470,-66470,-901176
Combined Cycle PP,-11270,-11512,-11512,-460928
El Demand,9809506,9809506,9809506,9809506
Hard Coal CHP,0,0,0,-5252800
Hard Coal PP,0,0,0,0
Lignite Power Plant,0,0,0,0
Offshore Wind Turbine,-480373,-479668,-479668,-412888
Onshore Wind Turbine,-10089236,-10090424,-10090424,-1959677
Power To Heat,1069849,1070091,1070091,0
Solar Panel,-242253,-242060,-242060,-824472
