,cllp,cllp,fine,fine,omf,omf,ppsa,ppsa
,Battery,Heat Storage,Battery,Heat Storage,Battery,Heat Storage,Battery,Heat Storage
2019-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.35688
2019-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.2716
2019-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503.402
2019-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968.7183
2019-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2384.6737
2019-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.2109
2019-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3147.4659
2019-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3535.7953
2019-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3934.9358
2019-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4343.1968
2019-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4757.5489
2019-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5174.0333
2019-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5590.1803
2019-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6002.6668
2019-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6409.9242
2019-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6807.8949
2019-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7196.6326
2019-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7581.435
2019-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7963.8505
2019-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8349.2485
2019-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8750.0881
2019-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9185.4886
2019-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9644.2929
2019-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10097.731
2019-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10544.015
2019-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10985.74
2019-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11414.967
2019-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11818.921
2019-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12169.563
2019-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,6.5167292,12481.618
2019-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.834146,12798.399
2019-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,68.994975,13120.694
2019-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,100.0,13453.229
2019-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,99.5,13795.244
2019-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,99.0025,14144.204
2019-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14496.056
2019-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,99.5,14852.103
2019-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,99.0025,15200.945
2019-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,98.507487,15557.925
2019-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,98.01495,15964.035
2019-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,99.799496,16427.04
2019-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,82.759757,16985.711
2019-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,47.609116,17541.988
2019-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,12.634228,18100.964
2019-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18675.753
2019-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19264.75
2019-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19860.126
2019-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20391.844
2019-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20841.914
2019-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21255.029
2019-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21654.19
2019-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,6.5167292,22019.944
2019-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.834146,22360.236
2019-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,68.994975,22707.112
2019-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23168.652
2019-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,69.517048,23681.665
2019-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,34.432621,24203.616
2019-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24733.879
