,PyPSA,Calliope,FINE,oemof
2019-01-19 16:00:00,0,0,0,0
2019-01-19 17:00:00,0,0,0,0
2019-01-19 18:00:00,227.9924,0,0,0
2019-01-19 19:00:00,471.78605,0,0,0
2019-01-19 20:00:00,649.76585,0,0,0
2019-01-19 21:00:00,617.99522,204.76993,204.76993,204.76993
2019-01-19 22:00:00,271.24158,694.52278,694.52278,694.52278
2019-01-19 23:00:00,193.43026,694.52278,694.52278,694.52278
2019-01-20 00:00:00,27.560116,477.95728,477.95728,477.95728
2019-01-20 01:00:00,19.843143,167.35918,167.35918,167.35918
2019-01-20 02:00:00,19.843143,11.076918,11.076918,11.076918
2019-01-20 03:00:00,19.843143,11.076918,11.076918,11.076918
2019-01-20 04:00:00,0,11.076918,11.076918,11.076918
2019-01-20 05:00:00,0,0,0,0
2019-01-20 06:00:00,0,0,0,0
