Nodes,cllp,fine,omf,ppsa
Battery,2104.0,2104.0,2104.0,3770.0
Biogas CHP,,,,
Biogas Supply,1299.0,1290.0,1290.0,1100.0
Combined Cycle PP,600.0,600.0,600.0,600.0
El Demand,1526.0,1526.0,1526.0,1526.0
Gas Station,847.0,852.0,852.0,
Hard Coal CHP,,,,
Hard Coal PP,500.0,500.0,500.0,500.0
Hard Coal Supply,0.0,0.0,0.0,0.0
Heat Demand,399.0,399.0,399.0,399.0
Heat Plant,450.0,450.0,450.0,450.0
Heat Storage,11357.0,11272.0,11272.0,11082.0
Lignite Power Plant,500.0,500.0,500.0,500.0
Lignite Supply,0.0,0.0,0.0,
Offshore Wind Turbine,2347.0,2346.0,2346.0,1947.0
Onshore Wind Turbine,15776.0,15787.0,15787.0,12703.0
Power To Heat,576.0,576.0,576.0,634.0
Solar Panel,3811.0,3809.0,3809.0,3684.0
