,,cllp,fine,omf,ppsa
Battery,Powerline,1.0,1.0,1.0,0.59
Biogas CHP,Heatline,1.0,1.0,1.0,0.93
Biogas CHP,Powerline,1.0,1.0,1.0,0.93
Biogas Line,Biogas CHP,1.0,1.0,1.0,0.93
Biogas Supply,Biogas Line,1.0,1.0,1.0,0.93
Combined Cycle PP,Powerline,1.0,1.0,1.0,0.95
Hard Coal CHP,Heatline,0.0,0.0,0.0,0.0
Hard Coal CHP,Powerline,0.0,0.0,0.0,0.0
Hard Coal PP,Powerline,0.0,0.0,0.0,0.0
Hard Coal Supply,Hard Coal Supply Line,0.0,0.0,0.0,0.0
Hard Coal Supply Line,Hard Coal CHP,0.0,0.0,0.0,0.0
Heat Plant,Heatline,0.0,0.0,0.0,0.0
Heat Storage,Heatline,1.0,1.0,1.0,0.8
Heatline,Heat Demand,1.0,1.0,1.0,1.0
Heatline,Heat Storage,1.0,1.0,1.0,0.61
Lignite Power Plant,Powerline,0.0,0.0,0.0,0.0
Offshore Wind Turbine,Powerline,1.0,1.0,1.0,0.73
Onshore Wind Turbine,Powerline,1.0,1.0,1.0,0.93
Power To Heat,Heatline,1.0,1.0,1.0,0.81
Powerline,Battery,1.0,1.0,1.0,0.17
Powerline,El Demand,1.0,1.0,1.0,1.0
Powerline,Power To Heat,1.0,1.0,1.0,0.81
Solar Panel,Powerline,1.0,1.0,1.0,0.86
