,,cllp,fine,omf,ppsa
Battery,Powerline,low,low,low,high
Biogas CHP,Heatline,low,low,low,medium
Biogas CHP,Powerline,low,low,low,medium
Biogas Line,Biogas CHP,low,low,low,medium
Biogas Supply,Biogas Line,low,low,low,medium
Combined Cycle PP,Powerline,low,low,low,medium
Hard Coal CHP,Heatline,None,None,None,None
Hard Coal CHP,Powerline,None,None,None,None
Hard Coal PP,Powerline,None,None,None,None
Hard Coal Supply,Hard Coal Supply Line,None,None,None,None
Hard Coal Supply Line,Hard Coal CHP,None,None,None,None
Heat Plant,Heatline,None,None,None,None
Heat Storage,Heatline,low,low,low,medium
Heatline,Heat Demand,low,low,low,low
Heatline,Heat Storage,low,low,low,high
Lignite Power Plant,Powerline,None,None,None,None
Offshore Wind Turbine,Powerline,low,low,low,medium
Onshore Wind Turbine,Powerline,low,low,low,low
Power To Heat,Heatline,low,low,low,medium
Powerline,Battery,low,low,low,high
Powerline,El Demand,low,low,low,low
Powerline,Power To Heat,low,low,low,medium
Solar Panel,Powerline,low,low,low,medium
