,omf
Battery,2104.6144999999997
Biogas CHP Heatline,645.2665400000001
Biogas CHP Powerline,516.2132300000001
Biogas Supply,1290.5331
Combined Cycle PP,600.0
El Demand,1526.22
Gas Station,852.98324
Hard Coal CHP Heatline,300.0
Hard Coal CHP Powerline,300.0
Hard Coal PP,500.0
Hard Coal Supply,0.0
Heat Demand,399.991542
Heat Plant,450.0
Heat Storage,11272.974
Lignite Power Plant,500.0
Lignite Supply,0.0
Offshore Wind Turbine,2346.3804
Onshore Wind Turbine,15787.525
Power To Heat,576.3567800000001
Solar Panel,3809.7611
