,omf
"('Battery', 'Powerline')",23657024.0
"('Biogas CHP', 'Heatline')",934743.9375000001
"('Biogas CHP', 'Powerline')",9970601.999999998
"('Biogas Line', 'Biogas CHP')",0.0
"('Biogas Supply', 'Biogas Line')",0.0
"('Combined Cycle PP', 'Powerline')",1036135.8
"('Gas Line', 'Combined Cycle PP')",0.0
"('Gas Line', 'Heat Plant')",0.0
"('Gas Station', 'Gas Line')",0.0
"('Hard Coal CHP', 'Heatline')",0.0
"('Hard Coal CHP', 'Powerline')",0.0
"('Hard Coal PP', 'Powerline')",0.0
"('Hard Coal Supply', 'Hard Coal Supply Line')",0.0
"('Hard Coal Supply Line', 'Hard Coal CHP')",0.0
"('Hard Coal Supply Line', 'Hard Coal PP')",0.0
"('Heat Plant', 'Heatline')",0.0
"('Heat Storage', 'Heatline')",2198570.0
"('Heatline', 'Heat Demand')",0.0
"('Heatline', 'Heat Storage')",0.0
"('Lignite Power Plant', 'Powerline')",0.0
"('Lignite Supply', 'Lignite Supply Line')",0.0
"('Lignite Supply Line', 'Lignite Power Plant')",0.0
"('Offshore Wind Turbine', 'Powerline')",50365148.4
"('Onshore Wind Turbine', 'Powerline')",605425479.6
"('Power To Heat', 'Heatline')",21187818.2
"('Powerline', 'Battery')",0.0
"('Powerline', 'El Demand')",0.0
"('Powerline', 'Power To Heat')",0.0
"('Solar Panel', 'Powerline')",19364841.599999998
