,omf
"('Battery', 'Powerline')",3548.5535999999997
"('Biogas CHP', 'Heatline')",1557.9065625
"('Biogas CHP', 'Powerline')",16617.67
"('Biogas Line', 'Biogas CHP')",0.0
"('Biogas Supply', 'Biogas Line')",0.0
"('Combined Cycle PP', 'Powerline')",4029.417
"('Gas Line', 'Combined Cycle PP')",0.0
"('Gas Line', 'Heat Plant')",0.0
"('Gas Station', 'Gas Line')",0.0
"('Hard Coal CHP', 'Heatline')",0.0
"('Hard Coal CHP', 'Powerline')",0.0
"('Hard Coal PP', 'Powerline')",0.0
"('Hard Coal Supply', 'Hard Coal Supply Line')",0.0
"('Hard Coal Supply Line', 'Hard Coal CHP')",0.0
"('Hard Coal Supply Line', 'Hard Coal PP')",0.0
"('Heat Plant', 'Heatline')",0.0
"('Heat Storage', 'Heatline')",0.0
"('Heatline', 'Heat Demand')",0.0
"('Heatline', 'Heat Storage')",0.0
"('Lignite Power Plant', 'Powerline')",0.0
"('Lignite Supply', 'Lignite Supply Line')",0.0
"('Lignite Supply Line', 'Lignite Power Plant')",0.0
"('Offshore Wind Turbine', 'Powerline')",9593.3616
"('Onshore Wind Turbine', 'Powerline')",201808.4932
"('Power To Heat', 'Heatline')",741.573637
"('Powerline', 'Battery')",0.0
"('Powerline', 'El Demand')",0.0
"('Powerline', 'Power To Heat')",0.0
"('Solar Panel', 'Powerline')",12103.026
