,omf
"('Battery', 'Powerline')",59142.56
"('Biogas CHP', 'Heatline')",83088.35
"('Biogas CHP', 'Powerline')",66470.68
"('Biogas Line', 'Biogas CHP')",166176.7
"('Biogas Supply', 'Biogas Line')",166176.7
"('Combined Cycle PP', 'Powerline')",11512.62
"('Gas Line', 'Combined Cycle PP')",19187.7
"('Gas Line', 'Heat Plant')",0.0
"('Gas Station', 'Gas Line')",19187.7
"('Hard Coal CHP', 'Heatline')",0.0
"('Hard Coal CHP', 'Powerline')",0.0
"('Hard Coal PP', 'Powerline')",0.0
"('Hard Coal Supply', 'Hard Coal Supply Line')",0.0
"('Hard Coal Supply Line', 'Hard Coal CHP')",0.0
"('Hard Coal Supply Line', 'Hard Coal PP')",0.0
"('Heat Plant', 'Heatline')",0.0
"('Heat Storage', 'Heatline')",109928.5
"('Heatline', 'Heat Demand')",1116162.73
"('Heatline', 'Heat Storage')",136245.03
"('Lignite Power Plant', 'Powerline')",0.0
"('Lignite Supply', 'Lignite Supply Line')",0.0
"('Lignite Supply Line', 'Lignite Power Plant')",0.0
"('Offshore Wind Turbine', 'Powerline')",479668.08
"('Onshore Wind Turbine', 'Powerline')",10090424.66
"('Power To Heat', 'Heatline')",1059390.91
"('Powerline', 'Battery')",69681.14
"('Powerline', 'El Demand')",9809506.14
"('Powerline', 'Power To Heat')",1070091.83
"('Solar Panel', 'Powerline')",242060.52
