,BHKW,BHKW,Biogas,Biogas plant,Coal Supply,Coal Supply Line,Coal Supply Line,District Heating,Gas Station,Gaspipeline,GuD,HKW,HKW,HKW2,High Voltage Grid,High Voltage Transfer Grid,High Voltage Transfer Grid,Low Voltage Grid,Low Voltage Grid,Low Voltage Grid,Low Voltage Transfer Grid,Low Voltage Transfer Grid,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Offshore Wind Power,Onshore Wind Power,Power to Heat,Solar Panel,Solar Thermal
,District Heating,Low Voltage Grid,BHKW,Biogas,Coal Supply Line,HKW,HKW2,District Heating Demand,Gaspipeline,GuD,High Voltage Grid,District Heating,High Voltage Grid,High Voltage Grid,High Voltage Transfer Grid,High Voltage Grid,Medium Voltage Grid,Commercial Demand,Household Demand,Low Voltage Transfer Grid,Low Voltage Grid,Medium Voltage Grid,Car charging Station,High Voltage Transfer Grid,Industrial Demand,Low Voltage Transfer Grid,Power to Heat,High Voltage Grid,Medium Voltage Grid,District Heating,Low Voltage Grid,District Heating
2030-10-13 00:00:00,0.0,0.0,0.0,0.0,19681.033,19681.033,0.0,21347.026,0.0,0.0,0.0,11808.62,4723.4479,0.0,21996.981,0.0,21996.981,14408.741,17750.618,0.0,32159.359,0.0,199.55034,0.0,41420.707,32159.359,9538.4056,17273.533,61321.041,9538.4056,0.0,0.0
2030-10-13 01:00:00,0.0,0.0,0.0,0.0,16606.602,16606.602,0.0,24112.258,0.0,0.0,0.0,9963.9611,3985.5845,0.0,20223.718,0.0,20223.718,12276.933,11601.443,0.0,23878.376,0.0,33.761407,0.0,39808.658,23878.376,14148.296,16238.133,57645.374,14148.296,0.0,0.0
2030-10-13 02:00:00,0.0,0.0,0.0,0.0,24009.593,24009.593,0.0,31255.403,0.0,0.0,0.0,14405.756,5762.3024,0.0,21533.789,0.0,21533.789,11020.688,9551.7181,0.0,20572.406,0.0,23.179135,0.0,40077.333,20572.406,16849.647,15771.486,55988.777,16849.647,0.0,0.0
2030-10-13 03:00:00,0.0,0.0,0.0,0.0,43616.424,43616.424,0.0,44982.185,0.0,0.0,0.0,26169.854,10467.942,0.0,25333.137,0.0,25333.137,10316.43,8875.3089,0.0,19191.739,0.0,23.179135,0.0,40077.333,19191.739,18812.33,14865.196,52771.444,18812.33,0.0,0.0
2030-10-13 04:00:00,0.0,0.0,0.0,0.0,47635.551,47635.551,0.0,50000.0,0.0,0.0,0.0,28581.331,11432.532,0.0,26117.145,0.0,26117.145,11020.688,8875.3089,0.0,19895.997,0.0,79.617922,0.0,36853.235,19895.997,21418.669,14684.612,52130.374,21418.669,0.0,0.0
2030-10-13 05:00:00,0.0,0.0,0.0,0.0,53605.116,53605.116,0.0,47389.492,0.0,0.0,0.0,32163.07,12865.228,0.0,26310.23,0.0,26310.23,13514.143,9203.2649,0.0,22717.408,0.0,93.727619,0.0,36002.431,22717.408,15226.422,13445.002,47729.758,15226.422,0.0,0.0
2030-10-13 06:00:00,0.0,0.0,0.0,0.0,65147.635,65147.635,0.0,44281.282,0.0,0.0,0.0,39088.581,15635.432,0.0,27856.014,0.0,27856.014,14580.047,12626.305,0.0,27206.353,0.0,912.09003,0.0,37927.934,27206.353,5192.7011,12220.581,43383.064,5192.7011,0.0,0.0
2030-10-13 07:00:00,0.0,0.0,0.0,0.0,98611.827,69436.477,29175.349,41661.886,0.0,0.0,0.0,41661.886,16664.755,12545.4,41469.553,0.0,41469.553,16369.244,23038.908,0.0,39408.152,0.0,1698.7056,0.0,43883.56,39408.152,0.0,12259.398,43520.864,0.0,0.0,0.0
2030-10-13 08:00:00,0.0,0.0,0.0,0.0,102123.3,63985.106,38138.194,38936.648,17517.544,17517.544,10335.351,38391.064,15356.425,16399.423,54391.103,0.0,54391.103,24192.219,27814.767,0.0,48218.205,0.0,2192.545,0.0,47645.008,48218.205,0.0,12299.903,43664.656,0.0,3788.781,545.58446
2030-10-13 09:00:00,0.0,0.0,0.0,0.0,102123.3,56871.368,45251.932,37513.432,42086.748,42086.748,24831.181,34122.821,13649.128,19458.331,68257.192,0.0,68257.192,38068.008,28142.723,0.0,42664.816,0.0,3473.0,0.0,58750.236,42664.816,0.0,10318.552,36630.859,0.0,23545.915,3390.6117
2030-10-13 10:00:00,0.0,0.0,0.0,0.0,102123.3,49135.266,52988.034,36402.896,23367.681,23367.681,13786.932,29481.159,11792.464,22784.855,55785.034,0.0,55785.034,40371.123,27630.292,0.0,19933.801,0.0,3444.7806,0.0,58750.236,19933.801,0.0,7420.7839,26343.783,0.0,48067.613,6921.7363
2030-10-13 11:00:00,0.0,0.0,0.0,0.0,78105.32,41571.925,36533.395,35590.495,0.0,0.0,0.0,24943.155,9977.2619,15709.36,32915.853,0.0,32915.853,41265.721,26789.905,5884.2385,0.0,5884.2385,3250.7723,0.0,61213.088,0.0,0.0,7229.2308,25663.769,0.0,73939.864,10647.34
2030-10-13 12:00:00,0.0,0.0,0.0,0.0,36536.093,36536.093,0.0,36323.716,0.0,0.0,0.0,21921.656,8768.6623,0.0,17065.359,0.0,17065.359,41969.979,28142.723,21189.804,0.0,21189.804,3360.1224,0.0,63093.812,0.0,1254.4995,8296.6963,29453.272,1254.4995,91302.506,13147.561
2030-10-13 13:00:00,0.0,0.0,0.0,0.0,12756.761,12756.761,0.0,36897.769,0.0,0.0,0.0,7654.0565,3061.6226,0.0,13096.642,0.0,13096.642,36811.764,31729.742,31064.318,0.0,31064.318,3134.3673,0.0,61750.438,0.0,14900.474,10035.02,35624.32,14900.474,99605.823,14343.239
