,BHKW,BHKW,Biogas,Biogas plant,Coal Supply,Coal Supply Line,Coal Supply Line,District Heating,GuD,HKW,HKW,HKW2,High Voltage Grid,High Voltage Transfer Grid,High Voltage Transfer Grid,Low Voltage Grid,Low Voltage Grid,Low Voltage Grid,Low Voltage Transfer Grid,Low Voltage Transfer Grid,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Offshore Wind Power,Onshore Wind Power,Power to Heat,Solar Panel,Solar Thermal
,District Heating,Low Voltage Grid,BHKW,Biogas,Coal Supply Line,HKW,HKW2,District Heating Demand,High Voltage Grid,District Heating,High Voltage Grid,High Voltage Grid,High Voltage Transfer Grid,High Voltage Grid,Medium Voltage Grid,Commercial Demand,Household Demand,Low Voltage Transfer Grid,Low Voltage Grid,Medium Voltage Grid,Car charging Station,High Voltage Transfer Grid,Industrial Demand,Low Voltage Transfer Grid,Power to Heat,High Voltage Grid,Medium Voltage Grid,District Heating,Low Voltage Grid,District Heating
2030-10-13 00:00:00,0.0,0.0,0.0,0.0,19681.033,19681.033,0.0,21347.02551,0.0,11808.619799999999,4723.44792,0.0,21996.981,0.0,21996.981,14408.741080000002,17750.61774,0.0,32159.359,0.0,199.5503445,0.0,41420.7072,32159.359,9538.4056,17273.533,61321.041,9538.4056,0.0,0.0
2030-10-13 01:00:00,0.0,0.0,0.0,0.0,16606.602,16606.602,0.0,24112.25751,0.0,9963.9612,3985.5844799999995,0.0,20223.718,0.0,20223.718,12276.93263,11601.443009999999,0.0,23878.376,0.0,33.76140717,0.0,39808.65805,23878.376,14148.296,16238.133,57645.374,14148.296,0.0,0.0
2030-10-13 02:00:00,0.0,0.0,0.0,0.0,24009.593,24009.593,0.0,31255.403210000004,0.0,14405.7558,5762.30232,0.0,21533.789,0.0,21533.789,11020.688349999999,9551.718094,0.0,20572.406,0.0,23.17913458,0.0,40077.332910000005,20572.406,16849.647,15771.486,55988.777,16849.647,0.0,0.0
2030-10-13 03:00:00,0.0,0.0,0.0,0.0,43616.424,43616.424,0.0,44982.18455,0.0,26169.8544,10467.94176,0.0,25333.137,0.0,25333.137,10316.430209999999,8875.308872,0.0,19191.739,0.0,23.17913458,0.0,40077.332910000005,19191.739,18812.33,14865.196,52771.444,18812.33,0.0,0.0
2030-10-13 04:00:00,0.0,0.0,0.0,0.0,47635.551,47635.551,0.0,50000.0,0.0,28581.330599999998,11432.532239999999,0.0,26117.145,0.0,26117.145,11020.688349999999,8875.308872,0.0,19895.997,0.0,79.61792174,0.0,36853.23463,19895.997,21418.669,14684.612,52130.374,21418.669,0.0,0.0
2030-10-13 05:00:00,0.0,0.0,0.0,0.0,53605.116,53605.116,0.0,47389.49171,0.0,32163.0696,12865.22784,0.0,26310.23,0.0,26310.23,13514.142880000001,9203.264858,0.0,22717.408,0.0,93.72761853,0.0,36002.43091,22717.408,15226.422,13445.002,47729.758,15226.422,0.0,0.0
2030-10-13 06:00:00,0.0,0.0,0.0,0.0,65147.635,65147.635,0.0,44281.28207,0.0,39088.581,15635.4324,0.0,27856.014,0.0,27856.014,14580.04711,12626.305470000001,0.0,27206.353,0.0,912.0900323999998,0.0,37927.93406,27206.353,5192.7011,12220.581,43383.064,5192.7011,0.0,0.0
2030-10-13 07:00:00,0.0,0.0,0.0,0.0,98611.827,69436.477,29175.349,41661.88626,0.0,41661.8862,16664.75448,12545.40007,41469.553,0.0,41469.553,16369.2435,23038.90802,0.0,39408.152,0.0,1698.7056289999998,0.0,43883.56006,39408.152,0.0,12259.398,43520.864,0.0,0.0,0.0
2030-10-13 08:00:00,0.0,0.0,0.0,0.0,102123.3,63985.106,38138.194,38936.64811,10335.351,38391.0636,15356.425439999999,16399.423420000003,54391.103,0.0,54391.103,24192.21917,27814.767069999998,0.0,48218.205,0.0,2192.545016,0.0,47645.008069999996,48218.205,0.0,12299.903,43664.656,0.0,3788.781,545.58446
