Nodes,cllp,fine,omf,ppsa
BHKW,,,,
Biogas plant,25987.0,25987.0,25987.0,25987.0
Car charging Station,3473.0,3473.0,3473.0,3473.0
Coal Supply,102123.0,102123.0,102123.0,102123.0
Commercial Demand,41969.0,41969.0,41969.0,41969.0
District Heating Demand,50000.0,50000.0,50000.0,50000.0
GuD,26742.0,26742.0,26742.0,26742.0
HKW,,,,
HKW2,43913.0,43913.0,43913.0,43913.0
Household Demand,36177.0,36177.0,36177.0,36177.0
Industrial Demand,63093.0,63093.0,63093.0,63093.0
Offshore Wind Power,18760.0,18760.0,18760.0,18760.0
Onshore Wind Power,66599.0,66599.0,66599.0,66599.0
Power to Heat,50000.0,50000.0,50000.0,50000.0
Solar Panel,99605.0,99605.0,99605.0,99605.0
Solar Thermal,14343.0,14343.0,14343.0,14343.0
