,cllp,cllp,cllp,cllp,cllp,fine,fine,fine,fine,fine,omf,omf,omf,omf,omf,ppsa,ppsa,ppsa,ppsa,ppsa
,BHKW,HKW,Power to Heat,Solar Thermal,District Heating Demand,BHKW,HKW,Power to Heat,Solar Thermal,District Heating Demand,BHKW,HKW,Power to Heat,Solar Thermal,District Heating Demand,BHKW,HKW,Power to Heat,Solar Thermal,District Heating Demand
Timeseries-District Heating [MW],,,,,,,,,,,,,,,,,,,,
2030-10-13 00:00:00,-5581,0,-15765,0,21347,-5581,0,-15765,0,21347,-5581,0,-15765,0,21347,-5581,0,-15765,0,21347
2030-10-13 01:00:00,-8317,-2106,-13688,0,24112,-8317,-2106,-13688,0,24112,-8317,-2106,-13688,0,24112,-8317,-2106,-13688,0,24112
2030-10-13 02:00:00,-4943,-10571,-15740,0,31255,-4943,-10571,-15740,0,31255,-4943,-10571,-15740,0,31255,-4943,-10571,-15740,0,31255
2030-10-13 03:00:00,-12785,-12837,-19359,0,44982,-12785,-12837,-19359,0,44982,-12785,-12837,-19359,0,44982,-12785,-12837,-19359,0,44982
2030-10-13 04:00:00,-13513,-14860,-21625,0,50000,-13513,-14860,-21625,0,50000,-13513,-14860,-21625,0,50000,-13513,-14860,-21625,0,50000
2030-10-13 05:00:00,-13513,-18848,-15027,0,47389,-13513,-18848,-15027,0,47389,-13513,-18848,-15027,0,47389,-13513,-18848,-15027,0,47389
2030-10-13 06:00:00,-13513,-27624,-3143,0,44281,-13513,-27624,-3143,0,44281,-13513,-27624,-3143,0,44281,-13513,-27624,-3143,0,44281
2030-10-13 07:00:00,-13513,-28148,0,0,41661,-13513,-28148,0,0,41661,-13513,-28148,0,0,41661,-13513,-28148,0,0,41661
2030-10-13 08:00:00,-13513,-24877,0,-545,38936,-13513,-24877,0,-545,38936,-13513,-24877,0,-545,38936,-13513,-24877,0,-545,38936
2030-10-13 09:00:00,-13513,-20609,0,-3390,37513,-13513,-20609,0,-3390,37513,-13513,-20609,0,-3390,37513,-13513,-20609,0,-3390,37513
2030-10-13 10:00:00,-13513,-15967,0,-6921,36402,-13513,-15967,0,-6921,36402,-13513,-15967,0,-6921,36402,-13513,-15967,0,-6921,36402
2030-10-13 11:00:00,-13513,-11429,0,-10647,35590,-13513,-11429,0,-10647,35590,-13513,-11429,0,-10647,35590,-13513,-11429,0,-10647,35590
2030-10-13 12:00:00,0,-23176,0,-13147,36323,0,-23176,0,-13147,36323,0,-23176,0,-13147,36323,0,-23176,0,-13147,36323
2030-10-13 13:00:00,0,-17407,-5147,-14343,36897,0,-17407,-5147,-14343,36897,0,-17407,-5147,-14343,36897,0,-17407,-5147,-14343,36897
2030-10-13 14:00:00,0,-12199,-13649,-13322,39171,0,-12199,-13649,-13322,39171,0,-12199,-13649,-13322,39171,0,-12199,-13649,-13322,39171
2030-10-13 15:00:00,0,-13203,-17218,-11114,41536,0,-13203,-17218,-11114,41536,0,-13203,-17218,-11114,41536,0,-13203,-17218,-11114,41536
2030-10-13 16:00:00,-11020,-18087,-5672,-7818,42599,-11020,-18087,-5672,-7818,42599,-11020,-18087,-5672,-7818,42599,-11020,-18087,-5672,-7818,42599
2030-10-13 17:00:00,-13513,-25900,0,-3773,43187,-13513,-25900,0,-3773,43187,-13513,-25900,0,-3773,43187,-13513,-25900,0,-3773,43187
2030-10-13 18:00:00,-13513,-28725,0,-416,42656,-13513,-28725,0,-416,42656,-13513,-28725,0,-416,42656,-13513,-28725,0,-416,42656
2030-10-13 19:00:00,-13513,-24899,0,0,38413,-13513,-24899,0,0,38413,-13513,-24899,0,0,38413,-13513,-24899,0,0,38413
2030-10-13 20:00:00,-13513,-16596,0,0,30110,-13513,-16596,0,0,30110,-13513,-16596,0,0,30110,-13513,-16596,0,0,30110
2030-10-13 21:00:00,-13513,-9286,0,0,22799,-13513,-9286,0,0,22799,-13513,-9286,0,0,22799,-13513,-9286,0,0,22799
2030-10-13 22:00:00,-11113,0,-7393,0,18507,-11113,0,-7393,0,18507,-11113,0,-7393,0,18507,-11113,0,-7393,0,18507
2030-10-13 23:00:00,-180,0,-19603,0,19784,-180,0,-19603,0,19784,-180,0,-19603,0,19784,-180,0,-19603,0,19784
