,cllp,cllp,cllp,cllp,cllp,cllp,cllp,cllp,fine,fine,fine,fine,fine,fine,fine,fine,omf,omf,omf,omf,omf,omf,omf,omf,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa
,Deficit Source HV,GuD,HKW,HKW2,Medium High Transfer,Offshore Wind Power,Excess Sink HV,High Medium Transfer,Deficit Source HV,GuD,HKW,HKW2,Medium High Transfer,Offshore Wind Power,Excess Sink HV,High Medium Transfer,Deficit Source HV,GuD,HKW,HKW2,Medium High Transfer,Offshore Wind Power,Excess Sink HV,High Medium Transfer,Deficit Source HV,GuD,HKW,HKW2,Medium High Transfer,Offshore Wind Power,Excess Sink HV,High Medium Transfer
Timeseries-High Voltage Grid [MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-10-13 00:00:00,0,0,0,0,0,-17273,0,17273,0,0,0,0,0,-17273,0,17273,0,0,0,0,0,-17273,0,17273,0,0,0,0,0,-17273,0,17273
2030-10-13 01:00:00,0,0,-842,0,0,-16238,0,17080,0,0,-842,0,0,-16238,0,17080,0,0,-842,0,0,-16238,0,17080,0,0,-842,0,0,-16238,0,17080
2030-10-13 02:00:00,0,0,-4228,0,0,-15771,0,20000,0,0,-4228,0,0,-15771,0,20000,0,0,-4228,0,0,-15771,0,20000,0,0,-4228,0,0,-15771,0,20000
2030-10-13 03:00:00,0,0,-5134,0,0,-14865,0,20000,0,0,-5134,0,0,-14865,0,20000,0,0,-5134,0,0,-14865,0,20000,0,0,-5134,0,0,-14865,0,20000
2030-10-13 04:00:00,0,0,-5944,0,0,-14684,628,20000,0,0,-5944,0,0,-14684,628,20000,0,0,-5944,0,0,-14684,628,20000,0,0,-5944,0,0,-14684,628,20000
2030-10-13 05:00:00,0,0,-7539,0,0,-13445,984,20000,0,0,-7539,0,0,-13445,984,20000,0,0,-7539,0,0,-13445,984,20000,0,0,-7539,0,0,-13445,984,20000
2030-10-13 06:00:00,0,0,-11049,0,0,-12220,3270,20000,0,0,-11049,0,0,-12220,3270,20000,0,0,-11049,0,0,-12220,3270,20000,0,0,-11049,0,0,-12220,3270,20000
2030-10-13 07:00:00,0,0,-11259,0,0,-12259,3518,20000,0,0,-11259,0,0,-12259,3518,20000,0,0,-11259,0,0,-12259,3518,20000,0,0,-11259,0,0,-12259,3518,20000
2030-10-13 08:00:00,0,0,-9950,0,0,-12299,2250,20000,0,0,-9950,0,0,-12299,2250,20000,0,0,-9950,0,0,-12299,2250,20000,0,0,-9950,0,0,-12299,2250,20000
2030-10-13 09:00:00,0,0,-8243,-1437,0,-10318,0,20000,0,0,-8243,-1437,0,-10318,0,20000,0,0,-8243,-1437,0,-10318,0,20000,0,0,-8243,-1437,0,-10318,0,20000
2030-10-13 10:00:00,0,0,-6386,-6192,0,-7420,0,20000,0,0,-6386,-6192,0,-7420,0,20000,0,0,-6386,-6192,0,-7420,0,20000,0,0,-6386,-6192,0,-7420,0,20000
2030-10-13 11:00:00,0,0,-4571,-8198,0,-7229,0,20000,0,0,-4571,-8198,0,-7229,0,20000,0,0,-4571,-8198,0,-7229,0,20000,0,0,-4571,-8198,0,-7229,0,20000
2030-10-13 12:00:00,0,0,-9270,-2218,0,-8296,0,19785,0,0,-9270,-2218,0,-8296,0,19785,0,0,-9270,-2218,0,-8296,0,19785,0,0,-9270,-2218,0,-8296,0,19785
2030-10-13 13:00:00,0,0,-6962,0,0,-10035,0,16997,0,0,-6962,0,0,-10035,0,16997,0,0,-6962,0,0,-10035,0,16997,0,0,-6962,0,0,-10035,0,16997
2030-10-13 14:00:00,0,0,-4879,0,0,-11910,0,16789,0,0,-4879,0,0,-11910,0,16789,0,0,-4879,0,0,-11910,0,16789,0,0,-4879,0,0,-11910,0,16789
2030-10-13 15:00:00,0,0,-5281,0,0,-12397,0,17679,0,0,-5281,0,0,-12397,0,17679,0,0,-5281,0,0,-12397,0,17679,0,0,-5281,0,0,-12397,0,17679
2030-10-13 16:00:00,0,0,-7235,0,0,-12764,0,20000,0,0,-7235,0,0,-12764,0,20000,0,0,-7235,0,0,-12764,0,20000,0,0,-7235,0,0,-12764,0,20000
2030-10-13 17:00:00,0,0,-10360,0,0,-11442,1802,20000,0,0,-10360,0,0,-11442,1802,20000,0,0,-10360,0,0,-11442,1802,20000,0,0,-10360,0,0,-11442,1802,20000
2030-10-13 18:00:00,0,0,-11490,0,0,-10986,2477,20000,0,0,-11490,0,0,-10986,2477,20000,0,0,-11490,0,0,-10986,2477,20000,0,0,-11490,0,0,-10986,2477,20000
2030-10-13 19:00:00,0,0,-9959,0,0,-12845,2804,20000,0,0,-9959,0,0,-12845,2804,20000,0,0,-9959,0,0,-12845,2804,20000,0,0,-9959,0,0,-12845,2804,20000
2030-10-13 20:00:00,0,0,-6638,0,0,-14168,806,20000,0,0,-6638,0,0,-14168,806,20000,0,0,-6638,0,0,-14168,806,20000,0,0,-6638,0,0,-14168,806,20000
2030-10-13 21:00:00,0,0,-3714,-901,0,-15384,0,20000,0,0,-3714,-901,0,-15384,0,20000,0,0,-3714,-901,0,-15384,0,20000,0,0,-3714,-901,0,-15384,0,20000
2030-10-13 22:00:00,0,0,0,0,0,-16803,0,16803,0,0,0,0,0,-16803,0,16803,0,0,0,0,0,-16803,0,16803,0,0,0,0,0,-16803,0,16803
2030-10-13 23:00:00,0,0,0,0,0,-18760,0,18760,0,0,0,0,0,-18760,0,18760,0,0,0,0,0,-18760,0,18760,0,0,0,0,0,-18760,0,18760
