,cllp,cllp,cllp,cllp,cllp,cllp,cllp,cllp,fine,fine,fine,fine,fine,fine,fine,fine,omf,omf,omf,omf,omf,omf,omf,omf,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa
,BHKW,Deficit Source LV,Medium Low Transfer,Solar Panel,Commercial Demand,Excess Sink LV,Household Demand,Low Medium Transfer,BHKW,Deficit Source LV,Medium Low Transfer,Solar Panel,Commercial Demand,Excess Sink LV,Household Demand,Low Medium Transfer,BHKW,Deficit Source LV,Medium Low Transfer,Solar Panel,Commercial Demand,Excess Sink LV,Household Demand,Low Medium Transfer,BHKW,Deficit Source LV,Medium Low Transfer,Solar Panel,Commercial Demand,Excess Sink LV,Household Demand,Low Medium Transfer
Timeseries-Low Voltage Grid [MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-10-13 00:00:00,-3542,-10017,-18600,0,14408,0,17750,0,-3542,-10017,-18600,0,14408,0,17750,0,-3542,-10017,-18600,0,14408,0,17750,0,-3542,-10017,-18600,0,14408,0,17750,0
2030-10-13 01:00:00,-5278,0,-18600,0,12276,0,11601,0,-5278,0,-18600,0,12276,0,11601,0,-5278,0,-18600,0,12276,0,11601,0,-5278,0,-18600,0,12276,0,11601,0
2030-10-13 02:00:00,-3137,0,-17435,0,11020,0,9551,0,-3137,0,-17435,0,11020,0,9551,0,-3137,0,-17435,0,11020,0,9551,0,-3137,0,-17435,0,11020,0,9551,0
2030-10-13 03:00:00,-8114,0,-11077,0,10316,0,8875,0,-8114,0,-11077,0,10316,0,8875,0,-8114,0,-11077,0,10316,0,8875,0,-8114,0,-11077,0,10316,0,8875,0
2030-10-13 04:00:00,-8576,0,-11319,0,11020,0,8875,0,-8576,0,-11319,0,11020,0,8875,0,-8576,0,-11319,0,11020,0,8875,0,-8576,0,-11319,0,11020,0,8875,0
2030-10-13 05:00:00,-8576,0,-14141,0,13514,0,9203,0,-8576,0,-14141,0,13514,0,9203,0,-8576,0,-14141,0,13514,0,9203,0,-8576,0,-14141,0,13514,0,9203,0
2030-10-13 06:00:00,-8576,-30,-18600,0,14580,0,12626,0,-8576,-30,-18600,0,14580,0,12626,0,-8576,-30,-18600,0,14580,0,12626,0,-8576,-30,-18600,0,14580,0,12626,0
2030-10-13 07:00:00,-8576,-15451,-15380,0,16369,0,23038,0,-8576,-15451,-15380,0,16369,0,23038,0,-8576,-15451,-15380,0,16369,0,23038,0,-8576,-15451,-15380,0,16369,0,23038,0
2030-10-13 08:00:00,-8576,-28085,-11557,-3788,24192,0,27814,0,-8576,-28085,-11557,-3788,24192,0,27814,0,-8576,-28085,-11557,-3788,24192,0,27814,0,-8576,-28085,-11557,-3788,24192,0,27814,0
2030-10-13 09:00:00,-8576,-34088,0,-23545,38068,0,28142,0,-8576,-34088,0,-23545,38068,0,28142,0,-8576,-34088,0,-23545,38068,0,28142,0,-8576,-34088,0,-23545,38068,0,28142,0
