,cllp,cllp,cllp,cllp,cllp,cllp,cllp,cllp,cllp,cllp,fine,fine,fine,fine,fine,fine,fine,fine,fine,fine,omf,omf,omf,omf,omf,omf,omf,omf,omf,omf,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa
,Deficit Source MV,High Medium Transfer,Low Medium Transfer,Onshore Wind Power,Car charging Station,Excess Sink MV,Industrial Demand,Medium High Transfer,Medium Low Transfer,Power to Heat,Deficit Source MV,High Medium Transfer,Low Medium Transfer,Onshore Wind Power,Car charging Station,Excess Sink MV,Industrial Demand,Medium High Transfer,Medium Low Transfer,Power to Heat,Deficit Source MV,High Medium Transfer,Low Medium Transfer,Onshore Wind Power,Car charging Station,Excess Sink MV,Industrial Demand,Medium High Transfer,Medium Low Transfer,Power to Heat,Deficit Source MV,High Medium Transfer,Low Medium Transfer,Onshore Wind Power,Car charging Station,Excess Sink MV,Industrial Demand,Medium High Transfer,Medium Low Transfer,Power to Heat
Timeseries-Medium Voltage Grid [MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-10-13 00:00:00,0,-16064,0,-61321,199,0,41420,0,20000,15765,0,-16064,0,-61321,199,0,41420,0,20000,15765,0,-16064,0,-61321,199,0,41420,0,20000,15765,0,-16064,0,-61321,199,0,41420,0,20000,15765
2030-10-13 01:00:00,0,-15885,0,-57645,33,0,39808,0,20000,13688,0,-15885,0,-57645,33,0,39808,0,20000,13688,0,-15885,0,-57645,33,0,39808,0,20000,13688,0,-15885,0,-57645,33,0,39808,0,20000,13688
2030-10-13 02:00:00,0,-18600,0,-55988,23,0,40077,0,18747,15740,0,-18600,0,-55988,23,0,40077,0,18747,15740,0,-18600,0,-55988,23,0,40077,0,18747,15740,0,-18600,0,-55988,23,0,40077,0,18747,15740
2030-10-13 03:00:00,0,-18600,0,-52771,23,0,40077,0,11911,19359,0,-18600,0,-52771,23,0,40077,0,11911,19359,0,-18600,0,-52771,23,0,40077,0,11911,19359,0,-18600,0,-52771,23,0,40077,0,11911,19359
2030-10-13 04:00:00,0,-18600,0,-52130,79,0,36853,0,12172,21625,0,-18600,0,-52130,79,0,36853,0,12172,21625,0,-18600,0,-52130,79,0,36853,0,12172,21625,0,-18600,0,-52130,79,0,36853,0,12172,21625
2030-10-13 05:00:00,0,-18600,0,-47729,93,0,36002,0,15205,15027,0,-18600,0,-47729,93,0,36002,0,15205,15027,0,-18600,0,-47729,93,0,36002,0,15205,15027,0,-18600,0,-47729,93,0,36002,0,15205,15027
2030-10-13 06:00:00,0,-18600,0,-43383,912,0,37927,0,20000,3143,0,-18600,0,-43383,912,0,37927,0,20000,3143,0,-18600,0,-43383,912,0,37927,0,20000,3143,0,-18600,0,-43383,912,0,37927,0,20000,3143
2030-10-13 07:00:00,0,-18600,0,-43520,1698,0,43883,0,16538,0,0,-18600,0,-43520,1698,0,43883,0,16538,0,0,-18600,0,-43520,1698,0,43883,0,16538,0,0,-18600,0,-43520,1698,0,43883,0,16538,0
2030-10-13 08:00:00,0,-18600,0,-43664,2192,0,47645,0,12427,0,0,-18600,0,-43664,2192,0,47645,0,12427,0,0,-18600,0,-43664,2192,0,47645,0,12427,0,0,-18600,0,-43664,2192,0,47645,0,12427,0
2030-10-13 09:00:00,-6992,-18600,0,-36630,3473,0,58750,0,0,0,-6992,-18600,0,-36630,3473,0,58750,0,0,0,-6992,-18600,0,-36630,3473,0,58750,0,0,0,-6992,-18600,0,-36630,3473,0,58750,0,0,0
2030-10-13 10:00:00,-17251,-18600,0,-26343,3444,0,58750,0,0,0,-17251,-18600,0,-26343,3444,0,58750,0,0,0,-17251,-18600,0,-26343,3444,0,58750,0,0,0,-17251,-18600,0,-26343,3444,0,58750,0,0,0
2030-10-13 11:00:00,-6752,-18600,-13448,-25663,3250,0,61213,0,0,0,-6752,-18600,-13448,-25663,3250,0,61213,0,0,0,-6752,-18600,-13448,-25663,3250,0,61213,0,0,0,-6752,-18600,-13448,-25663,3250,0,61213,0,0,0
