,,cllp,fine,omf,ppsa
BHKW,District Heating,37858.703980499995,16016.512824000001,16016.512824000001,16016.512824000001
BHKW,Low Voltage Grid,0.0,21842.191943,21842.19037,21842.191943
Biogas,BHKW,0.0,0.0,0.0,0.0
Biogas plant,Biogas,0.0,0.0,0.0,0.0
Coal Supply,Coal Supply Line,0.0,0.0,0.0,0.0
Coal Supply Line,HKW,0.0,0.0,0.0,0.0
Coal Supply Line,HKW2,0.0,0.0,0.0,0.0
Deficit Source HV,High Voltage Grid,0.0,0.0,0.0,0.0
Deficit Source LV,Low Voltage Grid,181022.11800000002,181022.11800000002,181022.11800000002,181022.11800000002
Deficit Source MV,Medium Voltage Grid,18876.198,18876.198,18876.198,18876.198
District Heating,District Heating Demand,0.0,0.0,0.0,0.0
Gas Station,Gaspipeline,0.0,0.0,0.0,
Gaspipeline,GuD,0.0,0.0,0.0,
GuD,High Voltage Grid,0.0,0.0,0.0,0.0
HKW,District Heating,195022.4555704,114640.83837999999,114640.83837999999,114640.83837999999
HKW,High Voltage Grid,0.0,80381.615136,80381.615136,80381.615136
HKW2,High Voltage Grid,12572.553071999999,12572.553071999999,12572.553071999999,12572.553071999999
High Medium Transfer,Medium Voltage Grid,0.0,0.0,0.0,0.0
High Voltage Grid,Excess Sink HV,3927.3899999999994,0.0,3927.3899999999994,0.0
High Voltage Grid,High Medium Transfer,0.0,0.0,0.0,0.0
Low Medium Transfer,Medium Voltage Grid,0.0,0.0,0.0,0.0
Low Voltage Grid,Commercial Demand,0.0,0.0,0.0,0.0
Low Voltage Grid,Excess Sink LV,12466.23,0.0,12466.23,0.0
Low Voltage Grid,Household Demand,0.0,0.0,0.0,0.0
Low Voltage Grid,Low Medium Transfer,0.0,0.0,0.0,0.0
Medium High Transfer,High Voltage Grid,0.0,0.0,0.0,0.0
Medium Low Transfer,Low Voltage Grid,0.0,0.0,0.0,0.0
Medium Voltage Grid,Car charging Station,0.0,0.0,0.0,0.0
Medium Voltage Grid,Excess Sink MV,0.0,0.0,0.0,0.0
Medium Voltage Grid,Industrial Demand,0.0,0.0,0.0,0.0
Medium Voltage Grid,Medium High Transfer,0.0,0.0,0.0,0.0
Medium Voltage Grid,Medium Low Transfer,0.0,0.0,0.0,0.0
Medium Voltage Grid,Power to Heat,0.0,0.0,0.0,0.0
Offshore Wind Power,High Voltage Grid,0.0,0.0,0.0,0.0
Onshore Wind Power,Medium Voltage Grid,0.0,0.0,0.0,0.0
Power to Heat,District Heating,0.0,0.0,0.0,0.0
Solar Panel,Low Voltage Grid,0.0,0.0,0.0,0.0
Solar Thermal,District Heating,0.0,0.0,0.0,0.0
