,BHKW,BHKW,Biogas,Biogas plant,Coal Supply,Coal Supply Line,Coal Supply Line,Deficit Source HV,Deficit Source LV,Deficit Source MV,District Heating,Gas Station,Gaspipeline,GuD,HKW,HKW,HKW2,High Medium Transfer,High Voltage Grid,High Voltage Grid,Low Medium Transfer,Low Voltage Grid,Low Voltage Grid,Low Voltage Grid,Low Voltage Grid,Medium High Transfer,Medium Low Transfer,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Offshore Wind Power,Onshore Wind Power,Power to Heat,Solar Panel,Solar Thermal
,District Heating,Low Voltage Grid,BHKW,Biogas,Coal Supply Line,HKW,HKW2,High Voltage Grid,Low Voltage Grid,Medium Voltage Grid,District Heating Demand,Gaspipeline,GuD,High Voltage Grid,District Heating,High Voltage Grid,High Voltage Grid,Medium Voltage Grid,Excess Sink HV,High Medium Transfer,Medium Voltage Grid,Commercial Demand,Excess Sink LV,Household Demand,Low Medium Transfer,High Voltage Grid,Low Voltage Grid,Car charging Station,Excess Sink MV,Industrial Demand,Medium High Transfer,Medium Low Transfer,Power to Heat,High Voltage Grid,Medium Voltage Grid,District Heating,Low Voltage Grid,District Heating
2030-10-13 00:00:00,7087.2326,4497.6669,13629.294,13629.294,0.0,0.0,0.0,0.0,7661.692,0.0,21347.026,0.0,0.0,0.0,0.0,0.0,0.0,16064.385,0.0,17273.533,0.0,14408.741,0.0,17750.618,0.0,0.0,20000.0,199.55034,0.0,41420.707,0.0,21505.376,14259.793,17273.533,61321.041,14259.793,0.0,0.0
2030-10-13 01:00:00,6111.3798,3878.3756,11752.653,11752.653,8019.7228,8019.7228,0.0,0.0,0.0,0.0,24112.258,0.0,0.0,0.0,4811.8337,1924.7335,0.0,16891.466,0.0,18162.867,0.0,12276.933,0.0,11601.443,0.0,0.0,20000.0,33.761407,0.0,39808.658,0.0,21505.376,13189.044,16238.133,57645.374,13189.044,0.0,0.0
2030-10-13 02:00:00,1874.2952,1189.4566,3604.4139,3604.4139,23891.208,23891.208,0.0,0.0,0.0,0.0,31255.403,0.0,0.0,0.0,14334.725,5733.8899,0.0,20000.0,0.0,21505.376,0.0,11020.688,0.0,9551.7181,0.0,0.0,19382.95,23.179135,0.0,40077.333,0.0,20841.882,15046.383,15771.486,55988.777,15046.383,0.0,0.0
2030-10-13 03:00:00,9716.6266,6166.3207,18685.82,18685.82,27667.42,27667.42,0.0,0.0,0.0,0.0,44982.185,0.0,0.0,0.0,16600.452,6640.1808,0.0,20000.0,0.0,21505.376,0.0,10316.43,0.0,8875.3089,0.0,0.0,13025.418,23.179135,0.0,40077.333,0.0,14005.826,18665.106,14865.196,52771.444,18665.106,0.0,0.0
2030-10-13 04:00:00,11379.171,7221.397,21883.021,21883.021,28419.85,28419.85,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,17051.91,6820.7639,0.0,20000.0,0.0,21505.376,0.0,11020.688,0.0,8875.3089,0.0,0.0,12674.6,79.617922,0.0,36853.235,0.0,13628.602,21568.919,14684.612,52130.374,21568.919,0.0,0.0
2030-10-13 05:00:00,11907.091,7556.4231,22898.252,22898.252,33584.892,33584.892,0.0,0.0,0.0,0.0,47389.492,0.0,0.0,0.0,20150.935,8060.374,0.0,20000.0,0.0,21505.376,0.0,13514.143,0.0,9203.2649,0.0,0.0,15160.985,93.727619,0.0,36002.431,0.0,16302.134,15331.466,13445.002,47729.758,15331.466,0.0,0.0
2030-10-13 06:00:00,13513.697,8576.0,25987.879,25987.879,43761.971,43761.971,0.0,0.0,0.0,0.0,44281.282,0.0,0.0,0.0,26257.182,10502.873,0.0,20000.0,1218.078,21505.376,0.0,14580.047,0.0,12626.305,0.0,0.0,18630.353,912.09003,0.0,37927.934,0.0,20032.637,4510.4027,12220.581,43383.064,4510.4027,0.0,0.0
2030-10-13 07:00:00,13513.697,8576.0,25987.879,25987.879,46913.649,46913.649,0.0,0.0,14149.255,0.0,41661.886,0.0,0.0,0.0,28148.189,11259.276,0.0,20000.0,2013.2977,21505.376,0.0,16369.244,0.0,23038.908,0.0,0.0,16682.897,1698.7056,0.0,43883.56,0.0,17938.598,0.0,12259.398,43520.864,0.0,0.0,0.0
2030-10-13 08:00:00,13513.697,8576.0,25987.879,25987.879,41462.278,41462.278,0.0,0.0,26783.0,0.0,38936.648,0.0,0.0,0.0,24877.367,9950.9467,0.0,20000.0,745.47329,21505.376,0.0,24192.219,0.0,27814.767,0.0,0.0,12859.205,2192.545,0.0,47645.008,0.0,13827.102,0.0,12299.903,43664.656,0.0,3788.781,545.58446
2030-10-13 09:00:00,13513.697,8576.0,25987.879,25987.879,41193.132,34348.539,6844.5929,0.0,34088.816,5592.3761,37513.432,0.0,0.0,0.0,20609.124,8243.6494,2943.175,20000.0,0.0,21505.376,0.0,38068.008,0.0,28142.723,0.0,0.0,0.0,3473.0,0.0,58750.236,0.0,0.0,0.0,10318.552,36630.859,0.0,23545.915,3390.6117
2030-10-13 10:00:00,13513.697,8576.0,25987.879,25987.879,44513.85,26612.437,17901.413,0.0,11357.801,15851.233,36402.896,0.0,0.0,0.0,15967.462,6386.985,7697.6074,20000.0,0.0,21505.376,0.0,40371.123,0.0,27630.292,0.0,0.0,0.0,3444.7806,0.0,58750.236,0.0,0.0,0.0,7420.7839,26343.783,0.0,48067.613,6921.7363
2030-10-13 11:00:00,13513.697,8576.0,25987.879,25987.879,41617.381,19049.096,22568.285,0.0,0.0,5352.0694,35590.495,0.0,0.0,0.0,11429.458,4571.7831,9704.3624,20000.0,0.0,21505.376,13448.022,41265.721,0.0,26789.905,14460.238,0.0,0.0,3250.7723,0.0,61213.088,0.0,0.0,0.0,7229.2308,25663.769,0.0,73939.864,10647.34
2030-10-13 12:00:00,0.0,0.0,0.0,0.0,41019.244,38626.925,2392.3183,0.0,0.0,0.0,36323.716,0.0,0.0,0.0,23176.155,9270.4621,1028.6969,17294.145,0.0,18595.855,19706.517,41969.979,0.0,28142.723,21189.804,0.0,0.0,3360.1224,0.0,63093.812,0.0,0.0,0.0,8296.6963,29453.272,0.0,91302.506,13147.561
2030-10-13 13:00:00,0.0,0.0,0.0,0.0,27311.04,27311.04,0.0,0.0,0.0,0.0,36897.769,0.0,0.0,0.0,16386.624,6554.6496,0.0,15428.392,0.0,16589.669,20000.0,36811.764,9558.9413,31729.742,21505.376,0.0,0.0,3134.3673,0.0,61750.438,0.0,0.0,6167.9067,10035.02,35624.32,6167.9067,99605.823,14343.239
2030-10-13 14:00:00,0.0,0.0,0.0,0.0,18631.496,18631.496,0.0,0.0,0.0,0.0,39171.36,0.0,0.0,0.0,11178.897,4471.5589,0.0,15234.893,0.0,16381.605,20000.0,31653.549,11218.104,28142.723,21505.376,0.0,0.0,2707.5489,0.0,60138.389,0.0,0.0,14669.618,11910.046,42280.663,14669.618,92519.752,13322.844
2030-10-13 15:00:00,0.0,0.0,0.0,0.0,21709.041,21709.041,0.0,0.0,0.0,0.0,41536.249,0.0,0.0,0.0,13025.424,5210.1698,0.0,16375.402,0.0,17607.959,18844.881,32015.195,0.0,24904.158,20263.313,0.0,0.0,2234.8741,0.0,59601.039,0.0,0.0,17396.521,12397.789,44012.151,17396.521,77182.665,11114.304
2030-10-13 16:00:00,7772.9907,4932.8595,14948.059,14948.059,36418.809,36418.809,0.0,0.0,0.0,0.0,42599.52,0.0,0.0,0.0,21851.285,8740.5141,0.0,20000.0,0.0,21505.376,1716.5875,35041.601,0.0,22342.002,1845.793,0.0,0.0,2005.5915,0.0,59869.714,0.0,0.0,5156.5428,12764.862,45315.261,5156.5428,54296.537,7818.7013
2030-10-13 17:00:00,13513.697,8576.0,25987.879,25987.879,43167.708,43167.708,0.0,0.0,21558.117,696.31114,43187.713,0.0,0.0,0.0,25900.625,10360.25,0.0,20000.0,297.42876,21505.376,0.0,34508.649,0.0,21829.57,0.0,0.0,0.0,1716.3428,0.0,59601.039,0.0,0.0,0.0,11442.555,40621.071,0.0,26204.103,3773.3908
2030-10-13 18:00:00,13513.697,8576.0,25987.879,25987.879,47876.248,47876.248,0.0,0.0,47363.7,3968.3426,42656.077,0.0,0.0,0.0,28725.749,11490.3,0.0,20000.0,971.80138,21505.376,0.0,33252.405,0.0,25580.567,0.0,0.0,0.0,1758.6718,0.0,61213.088,0.0,0.0,0.0,10986.878,39003.418,0.0,2893.2725,416.63124
2030-10-13 19:00:00,13513.697,8576.0,25987.879,25987.879,41499.665,41499.665,0.0,0.0,44470.635,0.0,38413.496,0.0,0.0,0.0,24899.799,9959.9197,0.0,20000.0,1299.571,21505.376,0.0,23468.927,0.0,32242.173,0.0,0.0,2664.4648,1790.4187,0.0,60944.414,0.0,2865.0159,0.0,12845.028,45599.848,0.0,0.0,0.0
2030-10-13 20:00:00,13513.697,8576.0,25987.879,25987.879,29285.426,27660.713,1624.7134,0.0,32539.373,0.0,30110.125,0.0,0.0,0.0,16596.428,6638.571,698.62677,20000.0,0.0,21505.376,0.0,17777.76,0.0,36177.645,0.0,0.0,12840.032,1233.0856,0.0,55257.462,0.0,13806.486,0.0,14168.179,50297.034,0.0,0.0,0.0
2030-10-13 21:00:00,13513.697,8576.0,25987.879,25987.879,21073.937,15476.725,5597.2126,0.0,23028.683,0.0,22799.732,0.0,0.0,0.0,9286.0348,3714.4139,2406.8014,20000.0,0.0,21505.376,0.0,17244.808,0.0,33103.057,0.0,0.0,18743.182,859.17867,0.0,53600.634,0.0,20153.959,0.0,15384.161,54613.772,0.0,0.0,0.0
2030-10-13 22:00:00,12619.004,8008.2142,24267.316,24267.316,0.0,0.0,0.0,0.0,19045.388,0.0,18507.057,0.0,0.0,0.0,0.0,0.0,0.0,15627.265,0.0,16803.51,0.0,15836.291,0.0,31217.31,0.0,0.0,20000.0,509.96367,0.0,47376.333,0.0,21505.376,5888.0534,16803.51,59652.462,5888.0534,0.0,0.0
2030-10-13 23:00:00,1686.3612,1070.1908,3243.0024,3243.0024,0.0,0.0,0.0,0.0,19657.065,0.0,19784.033,0.0,0.0,0.0,0.0,0.0,0.0,17447.163,0.0,18760.39,0.0,15474.645,0.0,25252.611,0.0,0.0,20000.0,291.26337,0.0,44152.235,0.0,21505.376,18097.672,18760.39,66599.384,18097.672,0.0,0.0
