,cllp,fine,omf,ppsa
BHKW District Heating,13514,13514,13514,13514
BHKW Low Voltage Grid,8576,8576,8576,8576
Biogas plant,25988,25988,25988,25988
Car charging Station,3473,3473,3473,3473
Coal Supply,102123,102123,102123,102123
Commercial Demand,41970,41970,41970,41970
Deficit Source LV,47364,47364,47364,47364
Deficit Source MV,15851,15851,15851,15851
District Heating Demand,50000,50000,50000,50000
Excess Sink HV,2013,2013,2013,6546
Excess Sink LV,11218,11218,11218,20777
GuD,26742,26742,26742,26742
HKW District Heating,61274,61274,61274,61274
HKW High Voltage Grid,24510,24510,24510,24510
HKW2,43913,43913,43913,43913
High Medium Transfer,20000,20000,20000,20000
Household Demand,36178,36178,36178,36178
Industrial Demand,63094,63094,63094,63094
Low Medium Transfer,20000,20000,20000,20000
Medium High Transfer,20000,20000,20000,20000
Medium Low Transfer,20000,20000,20000,20000
Offshore Wind Power,18760,18760,18760,18760
Onshore Wind Power,66599,66599,66599,66599
Power to Heat,21569,21569,21569,21569
Solar Panel,99606,99606,99606,99606
Solar Thermal,14343,14343,14343,14343
