,cllp,fine,omf,ppsa
BHKW District Heating,13513.69696969697,13513.697080000002,13513.69697,25987.878788461538
BHKW Low Voltage Grid,8576.0,8576.00007,8576.0,25987.878787878788
Biogas plant,25987.87879,25987.879,25987.87879,25987.87879
Car charging Station,3473.0,3473.0,3473.0,3473.0
Coal Supply,102123.3,102123.3,102123.3,102123.3
Commercial Demand,41969.979,41969.979,41969.97896,41969.97896
Deficit Source HV,0.0,0.0,0.0,0.0
Deficit Source LV,0.0,0.0,0.0,0.0
Deficit Source MV,0.0,0.0,0.0,0.0
District Heating Demand,50000.0,50000.0,50000.0,50000.0
Excess Sink HV,0.0,0.0,0.0,0.0
Excess Sink LV,0.0,0.0,0.0,0.0
Excess Sink MV,0.0,0.0,0.0,0.0
Gas Station,0.0,0.0,0.0,
GuD,26742.0,26742.00016,26742.0,26742.0
HKW District Heating,61273.96,61273.9998,61273.96,102123.26666666666
HKW High Voltage Grid,24509.584000000003,24509.59992,24509.6,102123.33333333333
HKW2,43913.0,43913.019,43913.0,102123.2558139535
High Medium Transfer,60000.0,59999.999970000004,60000.0,64516.12903225806
Household Demand,36177.645,36177.645,36177.64471,36177.64471
Industrial Demand,63093.812,63093.812,63093.812379999996,63093.812379999996
Low Medium Transfer,60000.0,59999.999970000004,60000.0,64516.12903225806
Medium High Transfer,60000.0,59999.999970000004,60000.0,64516.12903225806
Medium Low Transfer,60000.0,59999.999970000004,60000.0,64516.12903225806
Offshore Wind Power,18760.38986,18760.39,18760.38986,18760.38986
Onshore Wind Power,66599.38399,66599.384,66599.38399,66599.38399
Power to Heat,0.0,0.0,0.0,0.0
Solar Panel,99605.82317,99605.823,99605.82317,99605.82317
Solar Thermal,14343.23854,14343.239,14343.23854,14343.23854
Biogas,,0.0,,
Coal Supply Line,,0.0,,
District Heating,,0.0,,
Gaspipeline,,0.0,,
High Voltage Grid,,0.0,,
Low Voltage Grid,,0.0,,
Medium Voltage Grid,,0.0,,
