,Deficit Source MV,High Medium Transfer,Low Medium Transfer,Onshore Wind Power,Car charging Station,Excess Sink MV,Industrial Demand,Medium High Transfer,Medium Low Transfer,Power to Heat
2030-10-13 00:00:00,0,-21530.999,0.0,-61321.041,199.55034,0,41420.707,0,34579.956,6651.8273
2030-10-13 01:00:00,0,-19679.209,0.0,-57645.374,33.761407,0,39808.658,0,25675.673,11806.491
2030-10-13 02:00:00,0,-20854.971,0.0,-55988.777,23.179135,0,40077.333,0,22120.867,14622.369
2030-10-13 03:00:00,0,-24432.298,0.0,-52771.444,23.179135,0,40077.333,0,20636.279,16466.952
2030-10-13 04:00:00,0,-25190.678,0.0,-52130.374,79.617922,0,36853.235,0,21393.545,18994.654
2030-10-13 05:00:00,0,-25431.492,0.0,-47729.758,93.727619,0,36002.431,0,24427.32,12637.772
2030-10-13 06:00:00,0,-26990.02,0.0,-43383.064,912.09003,0,37927.934,0,29254.143,2278.9176
2030-10-13 07:00:00,0,-44435.758,0.0,-43520.864,1698.7056,0,43883.56,0,42374.356,0.0
2030-10-13 08:00:00,0,-58020.43,0.0,-43664.656,2192.545,0,47645.008,0,51847.533,0.0
2030-10-13 09:00:00,0,-60000.0,0.0,-36630.859,3473.0,0,58750.236,0,34407.624,0.0
2030-10-13 10:00:00,0,-57285.428,0.0,-26343.783,3444.7806,0,58750.236,0,21434.195,0.0
2030-10-13 11:00:00,0,-33327.749,-5472.3418,-25663.769,3250.7723,0,61213.088,0,0.0,0.0
2030-10-13 12:00:00,0,-17294.145,-19706.517,-29453.272,3360.1224,0,63093.812,0,0.0,0.0
2030-10-13 13:00:00,0,-13018.034,-28889.815,-35624.32,3134.3673,0,61750.438,0,0.0,12647.364
2030-10-13 14:00:00,0,-12406.164,-30432.837,-42280.663,2707.5489,0,60138.389,0,0.0,22273.726
2030-10-13 15:00:00,0,-16375.402,-18844.881,-44012.151,2234.8741,0,59601.039,0,0.0,17396.521
2030-10-13 16:00:00,0,-23472.995,0.0,-45315.261,2005.5915,0,59869.714,0,3319.4264,3593.5244
2030-10-13 17:00:00,0,-53098.587,0.0,-40621.071,1716.3428,0,59601.039,0,32402.276,0.0
2030-10-13 18:00:00,0,-60000.0,0.0,-39003.418,1758.6718,0,61213.088,0,36031.657,0.0
2030-10-13 19:00:00,0,-60000.0,0.0,-45599.848,1790.4187,0,60944.414,0,42865.016,0.0
2030-10-13 20:00:00,0,-60000.0,0.0,-50297.034,1233.0856,0,55257.462,0,53806.486,0.0
2030-10-13 21:00:00,0,-53983.53,0.0,-54613.772,859.17867,0,53600.634,0,54137.489,0.0
2030-10-13 22:00:00,0,-38829.106,0.0,-59652.462,509.96367,0,47376.333,0,50595.271,0.0
2030-10-13 23:00:00,0,-23947.329,0.0,-66599.384,291.26337,0,44152.235,0,43792.749,2310.4665
