,cllp,fine,omf,ppsa
BHKW District Heating,13514,13514,13514,13514
BHKW Low Voltage Grid,8576,8576,8576,8576
Biogas plant,25988,25988,25988,25988
Car charging Station,3473,3473,3473,3473
Coal Supply,102123,102123,102123,102123
Commercial Demand,41970,41970,41970,41970
Deficit Source LV,13854,13854,13854,13854
District Heating Demand,50000,50000,50000,50000
Gas Station,33219,33219,33219,0
GuD,26742,26742,26742,26742
HKW District Heating,61274,61274,61274,61274
HKW High Voltage Grid,24510,24510,24510,24510
HKW2,43913,43913,43913,43913
High Medium Transfer,60000,60000,60000,60000
Household Demand,36178,36178,36178,36178
Industrial Demand,63094,63094,63094,63094
Low Medium Transfer,60000,60000,60000,60000
Medium High Transfer,60000,60000,60000,60000
Medium Low Transfer,60000,60000,60000,60000
Offshore Wind Power,18760,18760,18760,18760
Onshore Wind Power,66599,66599,66599,66599
Power to Heat,22274,22274,22274,22274
Solar Panel,99606,99606,99606,99606
Solar Thermal,14343,14343,14343,14343
