,cllp,cllp,cllp,cllp,cllp,cllp,cllp,cllp,fine,fine,fine,fine,fine,fine,fine,fine,omf,omf,omf,omf,omf,omf,omf,omf,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa
,Deficit Source HV,GuD,HKW,HKW2,Medium High Transfer,Offshore Wind Power,Excess Sink HV,High Medium Transfer,Deficit Source HV,GuD,HKW,HKW2,Medium High Transfer,Offshore Wind Power,Excess Sink HV,High Medium Transfer,Deficit Source HV,GuD,HKW,HKW2,Medium High Transfer,Offshore Wind Power,Excess Sink HV,High Medium Transfer,Deficit Source HV,GuD,HKW,HKW2,Medium High Transfer,Offshore Wind Power,Excess Sink HV,High Medium Transfer
Timeseries-High Voltage Grid [MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-10-13 00:00:00,0,0,-5878,0,0,-17273,0,23151,0,0,-5878,0,0,-17273,0,23151,0,0,-5878,0,0,-17273,0,23151,0,0,-5878,0,0,-17273,0,23151
2030-10-13 01:00:00,0,0,-4922,0,0,-16238,0,21160,0,0,-4922,0,0,-16238,0,21160,0,0,-4922,0,0,-16238,0,21160,0,0,-4922,0,0,-16238,0,21160
2030-10-13 02:00:00,0,0,-6653,0,0,-15771,0,22424,0,0,-6653,0,0,-15771,0,22424,0,0,-6653,0,0,-15771,0,22424,0,0,-6653,0,0,-15771,0,22424
2030-10-13 03:00:00,0,0,-11406,0,0,-14865,0,26271,0,0,-11406,0,0,-14865,0,26271,0,0,-11406,0,0,-14865,0,26271,0,0,-11406,0,0,-14865,0,26271
2030-10-13 04:00:00,0,0,-12402,0,0,-14684,0,27086,0,0,-12402,0,0,-14684,0,27086,0,0,-12402,0,0,-14684,0,27086,0,0,-12402,0,0,-14684,0,27086
2030-10-13 05:00:00,0,0,-13900,0,0,-13445,0,27345,0,0,-13900,0,0,-13445,0,27345,0,0,-13900,0,0,-13445,0,27345,0,0,-13900,0,0,-13445,0,27345
2030-10-13 06:00:00,0,0,-16800,0,0,-12220,0,29021,0,0,-16800,0,0,-12220,0,29021,0,0,-16800,0,0,-12220,0,29021,0,0,-16800,0,0,-12220,0,29021
2030-10-13 07:00:00,0,-4800,-16664,-14055,0,-12259,0,47780,0,-4800,-16664,-14055,0,-12259,0,47780,0,-4800,-16664,-14055,0,-12259,0,47780,0,-4800,-16664,-14055,0,-12259,0,47780
2030-10-13 08:00:00,0,-18331,-15356,-16399,0,-12299,0,62387,0,-18331,-15356,-16399,0,-12299,0,62387,0,-18331,-15356,-16399,0,-12299,0,62387,0,-18331,-15356,-16399,0,-12299,0,62387
2030-10-13 09:00:00,0,-26742,-11105,-24015,0,-10318,0,72181,0,-26742,-11105,-24015,0,-10318,0,72181,0,-26742,-11105,-24015,0,-10318,0,72181,0,-26742,-11105,-24015,0,-10318,0,72181
2030-10-13 10:00:00,0,-19599,-11792,-22784,0,-7420,0,61597,0,-19599,-11792,-22784,0,-7420,0,61597,0,-19599,-11792,-22784,0,-7420,0,61597,0,-19599,-11792,-22784,0,-7420,0,61597
2030-10-13 11:00:00,0,0,-9977,-18629,0,-7229,0,35836,0,0,-9977,-18629,0,-7229,0,35836,0,0,-9977,-18629,0,-7229,0,35836,0,0,-9977,-18629,0,-7229,0,35836
2030-10-13 12:00:00,0,0,-9270,-1028,0,-8296,0,18595,0,0,-9270,-1028,0,-8296,0,18595,0,0,-9270,-1028,0,-8296,0,18595,0,0,-9270,-1028,0,-8296,0,18595
2030-10-13 13:00:00,0,0,-3962,0,0,-10035,0,13997,0,0,-3962,0,0,-10035,0,13997,0,0,-3962,0,0,-10035,0,13997,0,0,-3962,0,0,-10035,0,13997
2030-10-13 14:00:00,0,0,-1429,0,0,-11910,0,13339,0,0,-1429,0,0,-11910,0,13339,0,0,-1429,0,0,-11910,0,13339,0,0,-1429,0,0,-11910,0,13339
2030-10-13 15:00:00,0,0,-5210,0,0,-12397,0,17607,0,0,-5210,0,0,-12397,0,17607,0,0,-5210,0,0,-12397,0,17607,0,0,-5210,0,0,-12397,0,17607
2030-10-13 16:00:00,0,0,-12474,0,0,-12764,0,25239,0,0,-12474,0,0,-12764,0,25239,0,0,-12474,0,0,-12764,0,25239,0,0,-12474,0,0,-12764,0,25239
2030-10-13 17:00:00,0,-14220,-15765,-15666,0,-11442,0,57095,0,-14220,-15765,-15666,0,-11442,0,57095,0,-14220,-15765,-15666,0,-11442,0,57095,0,-14220,-15765,-15666,0,-11442,0,57095
2030-10-13 18:00:00,0,-26742,-11490,-23326,0,-10986,0,72545,0,-26742,-11490,-23326,0,-10986,0,72545,0,-26742,-11490,-23326,0,-10986,0,72545,0,-26742,-11490,-23326,0,-10986,0,72545
2030-10-13 19:00:00,0,-26742,-10985,-24231,0,-12845,0,74803,0,-26742,-10985,-24231,0,-12845,0,74803,0,-26742,-10985,-24231,0,-12845,0,74803,0,-26742,-10985,-24231,0,-12845,0,74803
2030-10-13 20:00:00,0,-20496,-12044,-22334,0,-14168,0,69043,0,-20496,-12044,-22334,0,-14168,0,69043,0,-20496,-12044,-22334,0,-14168,0,69043,0,-20496,-12044,-22334,0,-14168,0,69043
2030-10-13 21:00:00,0,-5969,-9119,-27573,0,-15384,0,58046,0,-5969,-9119,-27573,0,-15384,0,58046,0,-5969,-9119,-27573,0,-15384,0,58046,0,-5969,-9119,-27573,0,-15384,0,58046
2030-10-13 22:00:00,0,0,-7402,-17545,0,-16803,0,41751,0,0,-7402,-17545,0,-16803,0,41751,0,0,-7402,-17545,0,-16803,0,41751,0,0,-7402,-17545,0,-16803,0,41751
2030-10-13 23:00:00,0,0,-6989,0,0,-18760,0,25749,0,0,-6989,0,0,-18760,0,25749,0,0,-6989,0,0,-18760,0,25749,0,0,-6989,0,0,-18760,0,25749
