,cllp,cllp,cllp,cllp,cllp,cllp,cllp,cllp,fine,fine,fine,fine,fine,fine,fine,fine,omf,omf,omf,omf,omf,omf,omf,omf,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa
,BHKW,Deficit Source LV,Medium Low Transfer,Solar Panel,Commercial Demand,Excess Sink LV,Household Demand,Low Medium Transfer,BHKW,Deficit Source LV,Medium Low Transfer,Solar Panel,Commercial Demand,Excess Sink LV,Household Demand,Low Medium Transfer,BHKW,Deficit Source LV,Medium Low Transfer,Solar Panel,Commercial Demand,Excess Sink LV,Household Demand,Low Medium Transfer,BHKW,Deficit Source LV,Medium Low Transfer,Solar Panel,Commercial Demand,Excess Sink LV,Household Demand,Low Medium Transfer
Timeseries-Low Voltage Grid [MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-10-13 00:00:00,0,0,-32159,0,14408,0,17750,0,0,0,-32159,0,14408,0,17750,0,0,0,-32159,0,14408,0,17750,0,0,0,-32159,0,14408,0,17750,0
2030-10-13 01:00:00,0,0,-23878,0,12276,0,11601,0,0,0,-23878,0,12276,0,11601,0,0,0,-23878,0,12276,0,11601,0,0,0,-23878,0,12276,0,11601,0
2030-10-13 02:00:00,0,0,-20572,0,11020,0,9551,0,0,0,-20572,0,11020,0,9551,0,0,0,-20572,0,11020,0,9551,0,0,0,-20572,0,11020,0,9551,0
2030-10-13 03:00:00,0,0,-19191,0,10316,0,8875,0,0,0,-19191,0,10316,0,8875,0,0,0,-19191,0,10316,0,8875,0,0,0,-19191,0,10316,0,8875,0
2030-10-13 04:00:00,0,0,-19895,0,11020,0,8875,0,0,0,-19895,0,11020,0,8875,0,0,0,-19895,0,11020,0,8875,0,0,0,-19895,0,11020,0,8875,0
2030-10-13 05:00:00,0,0,-22717,0,13514,0,9203,0,0,0,-22717,0,13514,0,9203,0,0,0,-22717,0,13514,0,9203,0,0,0,-22717,0,13514,0,9203,0
2030-10-13 06:00:00,0,0,-27206,0,14580,0,12626,0,0,0,-27206,0,14580,0,12626,0,0,0,-27206,0,14580,0,12626,0,0,0,-27206,0,14580,0,12626,0
2030-10-13 07:00:00,0,0,-39408,0,16369,0,23038,0,0,0,-39408,0,16369,0,23038,0,0,0,-39408,0,16369,0,23038,0,0,0,-39408,0,16369,0,23038,0
2030-10-13 08:00:00,0,0,-48218,-3788,24192,0,27814,0,0,0,-48218,-3788,24192,0,27814,0,0,0,-48218,-3788,24192,0,27814,0,0,0,-48218,-3788,24192,0,27814,0
2030-10-13 09:00:00,-4035,0,-38629,-23545,38068,0,28142,0,-4035,0,-38629,-23545,38068,0,28142,0,-4035,0,-38629,-23545,38068,0,28142,0,-4035,0,-38629,-23545,38068,0,28142,0
2030-10-13 10:00:00,0,0,-19933,-48067,40371,0,27630,0,0,0,-19933,-48067,40371,0,27630,0,0,0,-19933,-48067,40371,0,27630,0,0,0,-19933,-48067,40371,0,27630,0
2030-10-13 11:00:00,0,0,0,-73939,41265,0,26789,5884,0,0,0,-73939,41265,0,26789,5884,0,0,0,-73939,41265,0,26789,5884,0,0,0,-73939,41265,0,26789,5884
2030-10-13 12:00:00,0,0,0,-91302,41969,0,28142,21189,0,0,0,-91302,41969,0,28142,21189,0,0,0,-91302,41969,0,28142,21189,0,0,0,-91302,41969,0,28142,21189
2030-10-13 13:00:00,0,0,0,-99605,36811,0,31729,31064,0,0,0,-99605,36811,0,31729,31064,0,0,0,-99605,36811,0,31729,31064,0,0,0,-99605,36811,0,31729,31064
2030-10-13 14:00:00,0,0,0,-92519,31653,0,28142,32723,0,0,0,-92519,31653,0,28142,32723,0,0,0,-92519,31653,0,28142,32723,0,0,0,-92519,31653,0,28142,32723
2030-10-13 15:00:00,0,0,0,-77182,32015,0,24904,20263,0,0,0,-77182,32015,0,24904,20263,0,0,0,-77182,32015,0,24904,20263,0,0,0,-77182,32015,0,24904,20263
2030-10-13 16:00:00,0,0,-3087,-54296,35041,0,22342,0,0,0,-3087,-54296,35041,0,22342,0,0,0,-3087,-54296,35041,0,22342,0,0,0,-3087,-54296,35041,0,22342,0
2030-10-13 17:00:00,0,0,-30134,-26204,34508,0,21829,0,0,0,-30134,-26204,34508,0,21829,0,0,0,-30134,-26204,34508,0,21829,0,0,0,-30134,-26204,34508,0,21829,0
2030-10-13 18:00:00,-8576,-6909,-40453,-2893,33252,0,25580,0,-8576,-6909,-40453,-2893,33252,0,25580,0,-8576,-6909,-40453,-2893,33252,0,25580,0,-8576,-6909,-40453,-2893,33252,0,25580,0
2030-10-13 19:00:00,-6949,0,-48761,0,23468,0,32242,0,-6949,0,-48761,0,23468,0,32242,0,-6949,0,-48761,0,23468,0,32242,0,-6949,0,-48761,0,23468,0,32242,0
2030-10-13 20:00:00,0,0,-53955,0,17777,0,36177,0,0,0,-53955,0,17777,0,36177,0,0,0,-53955,0,17777,0,36177,0,0,0,-53955,0,17777,0,36177,0
2030-10-13 21:00:00,0,0,-50347,0,17244,0,33103,0,0,0,-50347,0,17244,0,33103,0,0,0,-50347,0,17244,0,33103,0,0,0,-50347,0,17244,0,33103,0
2030-10-13 22:00:00,0,0,-47053,0,15836,0,31217,0,0,0,-47053,0,15836,0,31217,0,0,0,-47053,0,15836,0,31217,0,0,0,-47053,0,15836,0,31217,0
2030-10-13 23:00:00,0,0,-40727,0,15474,0,25252,0,0,0,-40727,0,15474,0,25252,0,0,0,-40727,0,15474,0,25252,0,0,0,-40727,0,15474,0,25252,0
