,cllp,cllp,cllp,cllp,cllp,cllp,cllp,cllp,cllp,cllp,fine,fine,fine,fine,fine,fine,fine,fine,fine,fine,omf,omf,omf,omf,omf,omf,omf,omf,omf,omf,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa,ppsa
,Deficit Source MV,High Medium Transfer,Low Medium Transfer,Onshore Wind Power,Car charging Station,Excess Sink MV,Industrial Demand,Medium High Transfer,Medium Low Transfer,Power to Heat,Deficit Source MV,High Medium Transfer,Low Medium Transfer,Onshore Wind Power,Car charging Station,Excess Sink MV,Industrial Demand,Medium High Transfer,Medium Low Transfer,Power to Heat,Deficit Source MV,High Medium Transfer,Low Medium Transfer,Onshore Wind Power,Car charging Station,Excess Sink MV,Industrial Demand,Medium High Transfer,Medium Low Transfer,Power to Heat,Deficit Source MV,High Medium Transfer,Low Medium Transfer,Onshore Wind Power,Car charging Station,Excess Sink MV,Industrial Demand,Medium High Transfer,Medium Low Transfer,Power to Heat
Timeseries-Medium Voltage Grid [MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-10-13 00:00:00,0,-21530,0,-61321,199,0,41420,0,34579,6651,0,-21530,0,-61321,199,0,41420,0,34579,6651,0,-21530,0,-61321,199,0,41420,0,34579,6651,0,-21530,0,-61321,199,0,41420,0,34579,6651
2030-10-13 01:00:00,0,-19679,0,-57645,33,0,39808,0,25675,11806,0,-19679,0,-57645,33,0,39808,0,25675,11806,0,-19679,0,-57645,33,0,39808,0,25675,11806,0,-19679,0,-57645,33,0,39808,0,25675,11806
2030-10-13 02:00:00,0,-20854,0,-55988,23,0,40077,0,22120,14622,0,-20854,0,-55988,23,0,40077,0,22120,14622,0,-20854,0,-55988,23,0,40077,0,22120,14622,0,-20854,0,-55988,23,0,40077,0,22120,14622
2030-10-13 03:00:00,0,-24432,0,-52771,23,0,40077,0,20636,16466,0,-24432,0,-52771,23,0,40077,0,20636,16466,0,-24432,0,-52771,23,0,40077,0,20636,16466,0,-24432,0,-52771,23,0,40077,0,20636,16466
2030-10-13 04:00:00,0,-25190,0,-52130,79,0,36853,0,21393,18994,0,-25190,0,-52130,79,0,36853,0,21393,18994,0,-25190,0,-52130,79,0,36853,0,21393,18994,0,-25190,0,-52130,79,0,36853,0,21393,18994
2030-10-13 05:00:00,0,-25431,0,-47729,93,0,36002,0,24427,12637,0,-25431,0,-47729,93,0,36002,0,24427,12637,0,-25431,0,-47729,93,0,36002,0,24427,12637,0,-25431,0,-47729,93,0,36002,0,24427,12637
2030-10-13 06:00:00,0,-26990,0,-43383,912,0,37927,0,29254,2278,0,-26990,0,-43383,912,0,37927,0,29254,2278,0,-26990,0,-43383,912,0,37927,0,29254,2278,0,-26990,0,-43383,912,0,37927,0,29254,2278
2030-10-13 07:00:00,0,-44435,0,-43520,1698,0,43883,0,42374,0,0,-44435,0,-43520,1698,0,43883,0,42374,0,0,-44435,0,-43520,1698,0,43883,0,42374,0,0,-44435,0,-43520,1698,0,43883,0,42374,0
2030-10-13 08:00:00,0,-58020,0,-43664,2192,0,47645,0,51847,0,0,-58020,0,-43664,2192,0,47645,0,51847,0,0,-58020,0,-43664,2192,0,47645,0,51847,0,0,-58020,0,-43664,2192,0,47645,0,51847,0
2030-10-13 09:00:00,0,-67129,0,-36630,3473,0,58750,0,41536,0,0,-67129,0,-36630,3473,0,58750,0,41536,0,0,-67129,0,-36630,3473,0,58750,0,41536,0,0,-67129,0,-36630,3473,0,58750,0,41536,0
2030-10-13 10:00:00,0,-57285,0,-26343,3444,0,58750,0,21434,0,0,-57285,0,-26343,3444,0,58750,0,21434,0,0,-57285,0,-26343,3444,0,58750,0,21434,0,0,-57285,0,-26343,3444,0,58750,0,21434,0
2030-10-13 11:00:00,0,-33327,-5472,-25663,3250,0,61213,0,0,0,0,-33327,-5472,-25663,3250,0,61213,0,0,0,0,-33327,-5472,-25663,3250,0,61213,0,0,0,0,-33327,-5472,-25663,3250,0,61213,0,0,0
