,,cllp,fine,omf,ppsa
BHKW,District Heating,5333.1928312499995,2256.2619,2256.2619,2256.2619
BHKW,Low Voltage Grid,0.0,3076.931143,3076.931143,3076.931143
Biogas,BHKW,0.0,0.0,0.0,0.0
Biogas plant,Biogas,0.0,0.0,0.0,0.0
Coal Supply,Coal Supply Line,0.0,0.0,0.0,0.0
Coal Supply Line,HKW,0.0,0.0,0.0,0.0
Coal Supply Line,HKW2,0.0,0.0,0.0,0.0
Deficit Source HV,High Voltage Grid,0.0,0.0,0.0,0.0
Deficit Source LV,Low Voltage Grid,4145.838,4145.838,4145.838,4145.838
Deficit Source MV,Medium Voltage Grid,0.0,0.0,0.0,0.0
District Heating,District Heating Demand,0.0,0.0,0.0,0.0
Gas Station,Gaspipeline,0.0,0.0,0.0,
Gaspipeline,GuD,0.0,0.0,0.0,
GuD,High Voltage Grid,55082.917098,55082.917098,55082.917098,55082.917098
HKW,District Heating,302809.31305079994,178001.62251,178001.62251,178001.62251
HKW,High Voltage Grid,0.0,124807.691568,124807.691568,124807.691568
HKW2,High Voltage Grid,116890.21886399998,116890.21886399998,116890.21886399998,116890.21886399998
High Medium Transfer,Medium Voltage Grid,0.0,0.0,0.0,0.0
High Voltage Grid,Excess Sink HV,0.0,0.0,0.0,0.0
High Voltage Grid,High Medium Transfer,0.0,0.0,0.0,0.0
Low Medium Transfer,Medium Voltage Grid,0.0,0.0,0.0,0.0
Low Voltage Grid,Commercial Demand,0.0,0.0,0.0,0.0
Low Voltage Grid,Excess Sink LV,0.0,0.0,0.0,0.0
Low Voltage Grid,Household Demand,0.0,0.0,0.0,0.0
Low Voltage Grid,Low Medium Transfer,0.0,0.0,0.0,0.0
Medium High Transfer,High Voltage Grid,0.0,0.0,0.0,0.0
Medium Low Transfer,Low Voltage Grid,0.0,0.0,0.0,0.0
Medium Voltage Grid,Car charging Station,0.0,0.0,0.0,0.0
Medium Voltage Grid,Excess Sink MV,0.0,0.0,0.0,0.0
Medium Voltage Grid,Industrial Demand,0.0,0.0,0.0,0.0
Medium Voltage Grid,Medium High Transfer,0.0,0.0,0.0,0.0
Medium Voltage Grid,Medium Low Transfer,0.0,0.0,0.0,0.0
Medium Voltage Grid,Power to Heat,0.0,0.0,0.0,0.0
Offshore Wind Power,High Voltage Grid,0.0,0.0,0.0,0.0
Onshore Wind Power,Medium Voltage Grid,0.0,0.0,0.0,0.0
Power to Heat,District Heating,0.0,0.0,0.0,0.0
Solar Panel,Low Voltage Grid,0.0,0.0,0.0,0.0
Solar Thermal,District Heating,0.0,0.0,0.0,0.0
