,,cllp,fine,omf,ppsa
BHKW,District Heating,30823.25,30823.25,30823.25,30823.25
BHKW,Low Voltage Grid,19560.91,19560.91,19560.91,19560.91
Biogas,BHKW,59275.49,59275.49,59275.49,59275.49
Biogas plant,Biogas,59275.49,59275.49,59275.49,59275.49
Coal Supply,Coal Supply Line,1541802.49,1541802.49,1541802.49,1541802.49
Coal Supply Line,HKW,1012523.45,1012523.45,1012523.45,1012523.45
Coal Supply Line,HKW2,529279.04,529279.04,529279.04,529279.04
Deficit Source HV,High Voltage Grid,0.0,0.0,0.0,0.0
Deficit Source LV,Low Voltage Grid,6909.73,6909.73,6909.73,6909.73
Deficit Source MV,Medium Voltage Grid,0.0,0.0,0.0,0.0
District Heating,District Heating Demand,865459.85,865459.85,865459.85,865459.85
Gas Station,Gaspipeline,277364.46,277364.46,277364.46,
Gaspipeline,GuD,277364.46,277364.46,277364.46,
GuD,High Voltage Grid,163645.03,163645.03,163645.03,163645.03
HKW,District Heating,607514.07,607514.07,607514.07,607514.07
HKW,High Voltage Grid,243005.63,243005.63,243005.63,243005.63
HKW2,High Voltage Grid,227589.99,227589.99,227589.99,227589.99
High Medium Transfer,Medium Voltage Grid,877977.82,877977.82,877977.82,877977.82
High Voltage Grid,Excess Sink HV,0.0,0.0,0.0,0.0
High Voltage Grid,High Medium Transfer,944062.17,944062.17,944062.17,944062.17
Low Medium Transfer,Medium Voltage Grid,103346.39,103346.39,103346.39,103346.39
Low Voltage Grid,Commercial Demand,582459.56,582459.56,582459.56,582459.56
Low Voltage Grid,Excess Sink LV,0.0,0.0,0.0,0.0
Low Voltage Grid,Household Demand,552564.84,552564.84,552564.84,552564.84
Low Voltage Grid,Low Medium Transfer,111125.15,111125.15,111125.15,111125.15
Medium High Transfer,High Voltage Grid,0.0,0.0,0.0,0.0
Medium Low Transfer,Low Voltage Grid,626332.08,626332.08,626332.08,626332.08
Medium Voltage Grid,Car charging Station,37026.34,37026.34,37026.34,37026.34
Medium Voltage Grid,Excess Sink MV,0.0,0.0,0.0,0.0
Medium Voltage Grid,Industrial Demand,1229008.36,1229008.36,1229008.36,1229008.36
Medium Voltage Grid,Medium High Transfer,0.0,0.0,0.0,0.0
Medium Voltage Grid,Medium Low Transfer,673475.35,673475.35,673475.35,673475.35
Medium Voltage Grid,Power to Heat,141680.58,141680.58,141680.58,141680.58
Offshore Wind Power,High Voltage Grid,309821.53,309821.53,309821.53,309821.53
Onshore Wind Power,Medium Voltage Grid,1099866.42,1099866.42,1099866.42,1099866.42
Power to Heat,District Heating,141680.58,141680.58,141680.58,141680.58
Solar Panel,Low Voltage Grid,593346.83,593346.83,593346.83,593346.83
Solar Thermal,District Heating,85441.94,85441.94,85441.94,85441.94
