,BHKW,BHKW,Biogas,Biogas plant,Coal Supply,Coal Supply Line,Coal Supply Line,Deficit Source HV,Deficit Source LV,Deficit Source MV,District Heating,Gas Station,Gaspipeline,GuD,HKW,HKW,HKW2,High Medium Transfer,High Voltage Grid,High Voltage Grid,Low Medium Transfer,Low Voltage Grid,Low Voltage Grid,Low Voltage Grid,Low Voltage Grid,Medium High Transfer,Medium Low Transfer,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Medium Voltage Grid,Offshore Wind Power,Onshore Wind Power,Power to Heat,Solar Panel,Solar Thermal
,District Heating,Low Voltage Grid,BHKW,Biogas,Coal Supply Line,HKW,HKW2,High Voltage Grid,Low Voltage Grid,Medium Voltage Grid,District Heating Demand,Gaspipeline,GuD,High Voltage Grid,District Heating,High Voltage Grid,High Voltage Grid,Medium Voltage Grid,Excess Sink HV,High Medium Transfer,Medium Voltage Grid,Commercial Demand,Excess Sink LV,Household Demand,Low Medium Transfer,High Voltage Grid,Low Voltage Grid,Car charging Station,Excess Sink MV,Industrial Demand,Medium High Transfer,Medium Low Transfer,Power to Heat,High Voltage Grid,Medium Voltage Grid,District Heating,Low Voltage Grid,District Heating
2030-10-13 00:00:00,0.0,0.0,0.0,0.0,24491.997,24491.997,0.0,0.0,0.0,0.0,21347.026,0.0,0.0,0.0,14695.198199999999,5878.07928,0.0,21530.999160000003,0.0,23151.612,0.0,14408.741,0.0,17750.618,0.0,0.0,32159.35908,199.55034,0.0,41420.707,0.0,34579.956,6651.8273,17273.533,61321.041,6651.8273,0.0,0.0
2030-10-13 01:00:00,0.0,0.0,0.0,0.0,20509.611,20509.611,0.0,0.0,0.0,0.0,24112.258,0.0,0.0,0.0,12305.7666,4922.30664,0.0,19679.2092,0.0,21160.44,0.0,12276.933,0.0,11601.443,0.0,0.0,23878.37589,33.761407,0.0,39808.658,0.0,25675.673,11806.491,16238.133,57645.374,11806.491,0.0,0.0
2030-10-13 02:00:00,0.0,0.0,0.0,0.0,27721.724,27721.724,0.0,0.0,0.0,0.0,31255.403,0.0,0.0,0.0,16633.034399999997,6653.21376,0.0,20854.971,0.0,22424.7,0.0,11020.688,0.0,9551.7181,0.0,0.0,20572.40631,23.179135,0.0,40077.333,0.0,22120.867,14622.369,15771.486,55988.777,14622.369,0.0,0.0
2030-10-13 03:00:00,0.0,0.0,0.0,0.0,47525.388,47525.388,0.0,0.0,0.0,0.0,44982.185,0.0,0.0,0.0,28515.232799999998,11406.09312,0.0,24432.29877,0.0,26271.289,0.0,10316.43,0.0,8875.3089,0.0,0.0,19191.73947,23.179135,0.0,40077.333,0.0,20636.279,16466.952,14865.196,52771.444,16466.952,0.0,0.0
2030-10-13 04:00:00,0.0,0.0,0.0,0.0,51675.576,51675.576,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,31005.3456,12402.13824,0.0,25190.67843,0.0,27086.751,0.0,11020.688,0.0,8875.3089,0.0,0.0,19895.99685,79.617922,0.0,36853.235,0.0,21393.545,18994.654,14684.612,52130.374,18994.654,0.0,0.0
2030-10-13 05:00:00,0.0,0.0,0.0,0.0,57919.534,57919.534,0.0,0.0,0.0,0.0,47389.492,0.0,0.0,0.0,34751.7204,13900.68816,0.0,25431.4917,0.0,27345.69,0.0,13514.143,0.0,9203.2649,0.0,0.0,22717.407600000002,93.727619,0.0,36002.431,0.0,24427.32,12637.772,13445.002,47729.758,12637.772,0.0,0.0
2030-10-13 06:00:00,0.0,0.0,0.0,0.0,70003.941,70003.941,0.0,0.0,0.0,0.0,44281.282,0.0,0.0,0.0,42002.3646,16800.94584,0.0,26990.02011,0.0,29021.527,0.0,14580.047,0.0,12626.305,0.0,0.0,27206.352990000003,912.09003,0.0,37927.934,0.0,29254.143,2278.9176,12220.581,43383.064,2278.9176,0.0,0.0
2030-10-13 07:00:00,0.0,0.0,0.0,0.0,102123.3,69436.477,32686.823,0.0,0.0,0.0,41661.886,8137.1158,8137.1158,4800.898321999999,41661.8862,16664.75448,14055.33389,44435.758050000004,0.0,47780.385,0.0,16369.244,0.0,23038.908,0.0,0.0,39408.15108,1698.7056,0.0,43883.56,0.0,42374.356,0.0,12259.398,43520.864,0.0,0.0,0.0
2030-10-13 08:00:00,0.0,0.0,0.0,0.0,102123.3,63985.106,38138.194,0.0,0.0,0.0,38936.648,31070.86,31070.86,18331.807399999998,38391.0636,15356.425439999999,16399.423420000003,58020.42987000001,0.0,62387.559,0.0,24192.219,0.0,27814.767,0.0,0.0,48218.20569,2192.545,0.0,47645.008,0.0,51847.533,0.0,12299.903,43664.656,0.0,3788.781,545.58446
2030-10-13 09:00:00,6359.285400000001,4035.7003500000005,12229.395,12229.395,102123.3,46272.559,55850.741,0.0,0.0,0.0,37513.432,45325.424,45325.424,26742.00016,27763.5354,11105.41416,24015.81863,67129.06005,0.0,72181.785,0.0,38068.008,0.0,28142.723,0.0,0.0,38629.116120000006,3473.0,0.0,58750.236,0.0,41536.684,0.0,10318.552,36630.859,0.0,23545.915,3390.6117
2030-10-13 10:00:00,0.0,0.0,0.0,0.0,102123.3,49135.266,52988.034,0.0,0.0,0.0,36402.896,33218.868,33218.868,19599.132120000002,29481.159600000003,11792.46384,22784.85462,57285.42762,0.0,61597.234,0.0,40371.123,0.0,27630.292,0.0,0.0,19933.80135,3444.7806,0.0,58750.236,0.0,21434.195,0.0,7420.7839,26343.783,0.0,48067.613,6921.7363
2030-10-13 11:00:00,0.0,0.0,0.0,0.0,84897.034,41571.925,43325.109,0.0,0.0,0.0,35590.495,0.0,0.0,0.0,24943.155000000002,9977.262,18629.79687,33327.7497,0.0,35836.29,5472.341805000001,41265.721,0.0,26789.905,5884.2385,0.0,0.0,3250.7723,0.0,61213.088,0.0,0.0,0.0,7229.2308,25663.769,0.0,73939.864,10647.34
2030-10-13 12:00:00,0.0,0.0,0.0,0.0,41019.244,38626.925,2392.3183,0.0,0.0,0.0,36323.716,0.0,0.0,0.0,23176.155000000002,9270.462,1028.6968689999999,17294.14515,0.0,18595.855,19706.51772,41969.979,0.0,28142.723,21189.804,0.0,0.0,3360.1224,0.0,63093.812,0.0,0.0,0.0,8296.6963,29453.272,0.0,91302.506,13147.561
