Parameter,Tessif,Calliope,FINE,Oemof,PyPSA
Component,Transformer,Conversoin (Conversion_plus),Conversion (ConversionDynamic),Transformer,Generator (Link)
Identifier,Uid,name,name,label,name
Connecting Input(s),inputs,carrier_in,commodity,inputs,- (bus0)
Connecting Output(s),outputs,"carrier_out (carrier_out1, …)",commodity,outputs,bus (bus1)
Conversion Factors,conversions,energy_eff (carrier_ratios),commodityConversionFactor,conversion_factors,(efficiency)
Energy Flow Specific Flow Cost,flow_costs,"monetary.om prod, om_con",opexPerOperation,Flow.variable_costs,marginal_cost
Energy Flow Specific Emissions,flow emissions,"emissions.om prod, om_con",commodityConversionFactors,Flow.emissions,
Minimum Capacity,flow_rates.min,energy_cap_min_use,capacityMin,Flow.min,p_min_pu * p_nom
Maximum Capacity,flow_rates.max,energy_cap_min,capacityMax,Flow.max,p_max_pu * p_nom
Load Profile,timeseries,,operationRateMax,Flow.fix,p_set
Maximum Positive Gradient,flow_gradients.positive,,RampUpMax,Flow.positive_gradient[„ub“],ramp_limit_up
Maximum Negative Gradient,flow_gradients.negative,energy ramping,RampDownMax,Flow.negative_gradient[„ub“],ramp_limit_down
Energy Flow Specific Positive Gradient Costs,gradient_costs.positive,,rampUpMax,Flow.positive_gradient[„costs“],
Energy Flow Specific Negative Gradient Costs,gradient_costs.negative,,rampDownMax,Flownegative_gradient[„costs“],
Installed Capacity is Expandable,expandable,,,investment,p_nom_extendable
Energy Flow Specific Expansion Cost,expansion_cost,monetary.energy cap,investPerCapacity,Investment.ep_costs,capital_cost
Minimum installed Capacity (if expandable),expansion_limit.min,,capacityMin,Investment.minimum,p_nom_min
Maximum installed Capacity (if expandable),expansion_limit.max,energy_cap_max,capacityMax,Investment.maximum,p_nom_max
Use Milp Parameters,milp,,,NonConvex,
Initial Comonent Status (On or Off),initial_status,,,NonConvex.initial_status,
Minimum Number of Timesteps Between Status Changes,status_inertia.on,,,NonConvex.minimum_uptime,
,status_inertia.off,,,NonConvex.minimum_downtime,
,status_changing_costs.on,,,NonConvex.startup_costs,
,status_changing_costs.off,,,NonConvex.shutdown_costs,
,number_of_status_changes.on,,,NonConvex.maximum_startups,
,number_of_status_changes.off,,,NonConvex.maximum_shutdowns,
,costs_for_beeing_active,,,NonConvex.activity_costs,
