;time;Last (MW);Erzeugung (MW);Importe (MW)
0;01.01.2019 00:00;1090.3339999999998;250.178;840.1560000000001
1;01.01.2019 01:00;1070.6789999999999;261.315;809.363
2;01.01.2019 02:00;1020.7860000000001;257.436;763.3489999999999
3;01.01.2019 03:00;985.7719999999999;246.64700000000002;739.1239999999999
4;01.01.2019 04:00;976.324;268.928;707.3960000000001
5;01.01.2019 05:00;974.497;275.863;698.6339999999999
6;01.01.2019 06:00;1002.808;276.189;726.618
7;01.01.2019 07:00;1045.799;269.242;776.556
8;01.01.2019 08:00;1073.99;277.98400000000004;796.0060000000001
9;01.01.2019 09:00;1080.612;263.443;817.168
10;01.01.2019 10:00;1101.5539999999999;248.423;853.1310000000001
11;01.01.2019 11:00;1158.187;275.198;882.988
12;01.01.2019 12:00;1203.5610000000001;285.46299999999997;918.0980000000001
13;01.01.2019 13:00;1240.927;292.20799999999997;948.7180000000001
14;01.01.2019 14:00;1251.397;291.122;960.275
15;01.01.2019 15:00;1273.147;290.41900000000004;982.727
16;01.01.2019 16:00;1301.41;290.03;1011.38
17;01.01.2019 17:00;1358.4520000000002;300.383;1058.068
18;01.01.2019 18:00;1389.632;312.54;1077.0919999999999
19;01.01.2019 19:00;1350.87;312.72900000000004;1038.141
20;01.01.2019 20:00;1300.1689999999999;301.538;998.6310000000001
21;01.01.2019 21:00;1261.356;307.978;953.3760000000001
22;01.01.2019 22:00;1228.755;303.61400000000003;925.14
23;01.01.2019 23:00;1164.394;284.889;879.505
24;02.01.2019 00:00;1094.4669999999999;262.888;831.578
25;02.01.2019 01:00;1042.364;254.78099999999998;787.5830000000001
26;02.01.2019 02:00;997.553;247.27700000000002;750.2760000000001
27;02.01.2019 03:00;990.811;262.367;728.443
28;02.01.2019 04:00;1013.747;257.238;756.5089999999999
29;02.01.2019 05:00;1067.906;273.655;794.2510000000001
30;02.01.2019 06:00;1189.828;334.125;855.702
31;02.01.2019 07:00;1330.749;315.086;1015.663
32;02.01.2019 08:00;1425.885;324.918;1100.9669999999999
33;02.01.2019 09:00;1465.7160000000001;397.023;1068.692
34;02.01.2019 10:00;1521.326;418.624;1102.702
35;02.01.2019 11:00;1544.281;449.955;1094.326
36;02.01.2019 12:00;1537.565;454.81199999999995;1082.752
37;02.01.2019 13:00;1559.092;452.936;1106.155
38;02.01.2019 14:00;1602.295;452.023;1150.271
39;02.01.2019 15:00;1575.775;488.259;1087.515
40;02.01.2019 16:00;1562.297;500.74199999999996;1061.5539999999999
41;02.01.2019 17:00;1595.506;491.884;1103.621
42;02.01.2019 18:00;1611.724;480.783;1130.94
43;02.01.2019 19:00;1621.134;478.52099999999996;1142.612
44;02.01.2019 20:00;1522.0439999999999;466.55400000000003;1055.49
45;02.01.2019 21:00;1419.68;438.26;981.419
46;02.01.2019 22:00;1376.6370000000002;409.269;967.367
47;02.01.2019 23:00;1318.5410000000002;405.94300000000004;912.5980000000001
48;03.01.2019 00:00;1250.653;398.97;851.682
49;03.01.2019 01:00;1178.329;392.29400000000004;786.035
50;03.01.2019 02:00;1144.226;388.55300000000005;755.672
51;03.01.2019 03:00;1127.0610000000001;382.37699999999995;744.684
52;03.01.2019 04:00;1142.798;386.814;755.9839999999999
53;03.01.2019 05:00;1226.0919999999999;392.399;833.692
54;03.01.2019 06:00;1305.722;386.466;919.2560000000001
55;03.01.2019 07:00;1468.481;408.26599999999996;1060.214
56;03.01.2019 08:00;1566.624;420.145;1146.479
57;03.01.2019 09:00;1595.684;422.712;1172.972
58;03.01.2019 10:00;1603.701;433.57;1170.131
59;03.01.2019 11:00;1646.645;449.245;1197.399
60;03.01.2019 12:00;1627.6670000000001;457.835;1169.8310000000001
61;03.01.2019 13:00;1652.756;455.345;1197.411
62;03.01.2019 14:00;1637.92;455.87800000000004;1182.042
63;03.01.2019 15:00;1608.854;452.342;1156.513
64;03.01.2019 16:00;1583.536;458.972;1124.563
65;03.01.2019 17:00;1626.1660000000002;462.689;1163.476
66;03.01.2019 18:00;1639.0610000000001;457.471;1181.59
67;03.01.2019 19:00;1649.8310000000001;449.767;1200.063
68;03.01.2019 20:00;1567.594;445.43199999999996;1122.161
69;03.01.2019 21:00;1463.005;437.57300000000004;1025.431
70;03.01.2019 22:00;1401.422;438.014;963.408
71;03.01.2019 23:00;1324.451;436.695;887.7560000000001
72;04.01.2019 00:00;1232.101;412.842;819.2589999999999
73;04.01.2019 01:00;1170.863;393.675;777.188
74;04.01.2019 02:00;1123.45;387.912;735.538
75;04.01.2019 03:00;1105.487;392.254;713.232
76;04.01.2019 04:00;1110.306;396.381;713.925
77;04.01.2019 05:00;1180.6889999999999;404.98;775.709
78;04.01.2019 06:00;1285.361;421.215;864.1460000000001
79;04.01.2019 07:00;1430.1960000000001;468.82300000000004;961.372
80;04.01.2019 08:00;1534.494;490.212;1044.282
81;04.01.2019 09:00;1563.967;493.31;1070.656
82;04.01.2019 10:00;1597.34;499.977;1097.362
83;04.01.2019 11:00;1662.021;500.385;1161.636
84;04.01.2019 12:00;1647.049;460.13;1186.9180000000001
85;04.01.2019 13:00;1672.526;458.70099999999996;1213.825
86;04.01.2019 14:00;1597.56;455.19300000000004;1142.367
87;04.01.2019 15:00;1570.874;438.467;1132.406
88;04.01.2019 16:00;1580.996;446.272;1134.723
89;04.01.2019 17:00;1587.513;479.561;1107.951
90;04.01.2019 18:00;1577.5320000000002;507.121;1070.411
91;04.01.2019 19:00;1606.9879999999998;456.95599999999996;1150.031
92;04.01.2019 20:00;1515.515;425.18;1090.3339999999998
93;04.01.2019 21:00;1424.118;394.686;1029.432
94;04.01.2019 22:00;1375.967;381.689;994.278
95;04.01.2019 23:00;1316.5520000000001;338.973;977.578
96;05.01.2019 00:00;1255.991;293.922;962.069
97;05.01.2019 01:00;1178.731;268.658;910.073
98;05.01.2019 02:00;1126.094;274.599;851.495
99;05.01.2019 03:00;1092.594;265.6;826.9939999999999
100;05.01.2019 04:00;1111.276;267.673;843.602
101;05.01.2019 05:00;1128.9589999999998;265.832;863.127
102;05.01.2019 06:00;1091.518;264.986;826.5319999999999
103;05.01.2019 07:00;1211.836;251.745;960.09
